SystematicName	StandardName	Aliases	Timepoint1	Timepoint2	Timepoint3	Timepoint4	Timepoint5	Timepoint6	Timepoint7	Timepoint8	Timepoint9	Timepoint10	Timepoint11	Timepoint12	Timepoint13	Timepoint14	Timepoint15
YBR065C	ECM2	SLT11	462.9925411	512.0346387	554.3206545	674.3871675	631.510972	580.7270874	705.2144783	705.235441	548.6286819	633.0446675	636.6556899	604.7152938	591.3358845	595.5710516	607.0879025
YMR029C	FAR8	-	1702.919415	1213.785919	1197.923741	1627.890786	1863.052705	1527.010994	1212.310819	1135.601755	1520.763438	1448.592499	1361.108026	1315.08754	1391.104147	1508.355767	1488.360008
YHL042W	-	-	589.2365343	508.3580629	677.4385446	563.2343455	486.2784898	671.3943424	555.2697646	487.9227221	539.9849572	595.7679015	562.7124435	527.5118136	598.9090263	565.3921339	532.3420701
YNL068C	FKH2	-	556.889542	1173.291644	726.8720426	1062.532808	1144.421	1577.451208	1743.136488	1385.91902	988.9189397	1039.169717	1177.192702	1166.08479	1248.236346	1093.897251	1157.779706
YPR121W	THI22	-	2170.676582	1921.121966	2783.446229	1758.949973	1527.875608	1792.707975	1772.928706	1435.163044	1545.628357	1586.922673	1544.688829	1490.808767	1441.76422	1499.459872	1312.078198
YGL157W	-	-	13700.93662	11799.60077	6384.885476	5362.806407	4736.015977	4161.631182	4124.997749	4602.260662	5054.662689	4999.040211	4734.772734	4564.678281	4685.654656	4723.477275	4804.441065
YGL178W	MPT5	UTH4|PUF5|HTR1	5767.909423	4170.228991	6059.58002	5001.278201	5033.105854	4920.786942	4362.107843	4513.531135	4711.26185	4388.274125	4950.830977	4996.617627	4855.451217	4542.864413	4681.782196
YMR148W	OSW5	-	4385.723779	3316.506965	2382.922682	2406.669255	2380.844948	3050.191583	3413.968332	3390.231868	2869.486389	2592.9111	2724.368355	2807.774017	2902.034032	2556.251617	2734.919185
YML058W	SML1	-	12294.30208	11729.1962	11752.84481	12460.16641	11906.41727	15583.39707	18767.5403	18461.64032	14986.95383	12945.65185	14374.11701	16755.80268	17190.04519	16375.7552	16555.19522
YGR019W	UGA1	-	6076.267097	4022.894878	1883.625346	1051.058603	925.8065735	994.3434047	1072.450951	1309.420877	1437.922783	1427.445786	1365.229484	1358.973368	1411.04833	1339.983194	1474.700379
YLR249W	YEF3	TEF3	24423.44382	24832.31636	26197.95783	25953.32258	25913.10383	26183.76367	25998.87559	26112.82757	25688.43612	25531.35472	25986.13186	26195.927	25578.91734	26259.45932	25489.48956
YJL049W	-	-	993.889055	784.7719624	821.4612639	748.5548935	795.7092205	595.0154298	722.6065499	805.5016158	762.2793664	737.3882012	650.5901865	688.5847004	724.5190507	762.2957677	728.3165454
YBR263W	SHM1	TMP3|SHMT1	8420.104889	8034.83323	10452.26554	10475.60919	10095.66442	9876.363579	10002.49488	9357.63278	9634.263482	9063.322971	8974.936866	8790.788017	8972.702733	8847.757821	8583.382254
YOR249C	APC5	RMC1	714.6276908	546.217435	548.5166364	536.5348958	536.685609	413.6192752	431.8494999	514.8378459	558.2123958	482.7167069	475.4917838	454.6726706	485.6040235	525.0874277	520.1562607
YBL097W	BRN1	-	206.6169393	213.484874	209.6225436	230.190127	220.7093106	216.489072	233.037217	252.7191481	244.9741069	209.7437943	226.1667432	227.2694652	226.6149905	215.3176739	211.023845
