chr,start,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
1,62000,2.5432167149967344,2.6925382226013563,2.524425641662947,2.773301700268868,2.9861674120985833,2.70488936621151,3.1243231903549855,2.936673024385979,2.5043082084275876,2.328888559511465,2.4097672247147295,2.2284704608456427,2.3404925335745443,2.563292108518001,2.783830235137161
1,64000,2.6412733249705465,2.8469484061559975,2.646514841788643,2.778027348398888,2.993680625764541,2.7403561021041534,3.1394407011641374,2.962666385884197,2.5436700854056027,2.36317608271327,2.44290280616628,2.2389805135704064,2.3590239413803964,2.581050645303004,2.8138333339295047
1,66000,2.6990056590495066,2.856285316822168,2.663134966728264,2.795758262365845,2.9796633024725194,2.7184892721814458,3.1308906912598684,2.966634645949151,2.5543912829959927,2.3402297474317053,2.4499512429994277,2.230085127876514,2.3787600656844057,2.6339209324795965,2.8634144005810924
1,68000,2.6435882174134506,2.789691147764984,2.578845029775872,2.712385209394388,2.90201572333418,2.6409244829144254,3.0599872076111545,2.8674290271227436,2.4864413893321564,2.2734209814428024,2.3843081709158853,2.181777740010059,2.3035106464810813,2.579740562505017,2.791829568846533
1,70000,2.2936461959924603,2.471145208242994,2.3348117305553995,2.6545714352426355,2.863750223717588,2.613109671421961,2.99940740970027,2.8184381851504003,2.3772548212743665,2.2411035773163506,2.349415389171535,2.1222065361564955,2.186915876754095,2.4617857458861474,2.6515056085534234
1,72000,1.8339589266821001,2.0572529357568907,1.987296809506438,2.5280043856659504,2.7270125450574674,2.5094960025139894,2.963412740743726,2.792601757894186,2.239619340972726,2.1549480441811313,2.257586612872769,2.029706297898712,2.139067959020602,2.366528572428621,2.543182957155156
1,74000,1.807424141286909,1.9972858053643703,1.9210550556307011,2.5205449342428268,2.7573876175390932,2.5384786618720674,3.0278491807958967,2.858864368958937,2.234770983551917,2.1650699787630696,2.287333090457958,2.0631138714252097,2.1789904478489923,2.4308017286857906,2.566415229553705
1,76000,1.7298264179509253,1.9307924594687131,1.8133193522382058,2.4142064543222026,2.702558929018728,2.4722584826359677,2.9738580785430155,2.826854685229306,2.1743453812978437,2.104962610293506,2.211439121415908,2.0006796621639373,2.1354160917728664,2.3747062972665147,2.498386898163649
1,78000,2.0605618630038602,2.274350492977437,2.063664165081429,2.663844660252346,3.1134506268062663,2.9338472478049327,3.4819960345458587,3.328809858671499,2.4944322652256887,2.4232798226298073,2.5777488782996203,2.3804326940413167,2.5634580874304294,2.7681223400380333,2.8722014144949237
1,80000,1.9410496913038129,2.1263780145786044,1.905600526574473,2.4831334313999234,3.002419722517796,2.8678419821774046,3.3966226109447195,3.254670463114681,2.377763729342398,2.3295160411926714,2.5050713055853358,2.329465225879605,2.4988159328395914,2.6892988721151454,2.772366722647851
1,82000,1.7113029364472936,1.874131844895134,1.6606526630493597,2.2090338827785216,2.743624260293368,2.5716887718868464,3.034176440749318,2.8595794148877904,2.0873847628100624,2.0584517995580995,2.243369780904491,2.0831985391877827,2.2016253110644857,2.3751523281027054,2.460105556022467
1,84000,1.781697909652082,1.9319136642724852,1.6799413510622228,2.1608711582457927,2.7577571995385703,2.5906201285923847,3.0069462526085196,2.8494625875922606,2.0722310826720967,2.062908243178768,2.2263485960705105,2.095651119689942,2.2066190122703464,2.3655151418985287,2.4504076470867506
1,86000,1.962822591090999,2.146235613042796,1.8291680674334,2.2319055414580604,2.9005413701922964,2.7719609742756655,3.2461576355291397,3.066227035514878,2.226940546517899,2.1974146119861504,2.404919511363489,2.270772963240656,2.3676975358052323,2.553163712469259,2.605285875873932
1,88000,1.7233298586261154,1.9099915805610768,1.6172978771395898,2.069735552999764,2.728104415244522,2.6293482815606057,3.095182399311225,2.892867158688424,2.0732742649425786,2.0419192524613963,2.255940580884029,2.1073255483608824,2.1935088231289654,2.383972769525956,2.4306720026403954
1,90000,1.7998032727513709,1.9885023156603183,1.665476438271388,2.050836473520338,2.6654851973801437,2.535352614393465,2.9756769467692683,2.768542020715752,2.0072799019528773,1.9698001085018888,2.171597594608789,2.030824914862909,2.1072091063822236,2.2898159582386186,2.3578451060299397
1,92000,2.037219542926673,2.2415065660183626,1.8428880420192737,2.155962898455387,2.768914497487796,2.731978702941002,3.188236894093058,2.9960738559010958,2.1630230116223133,2.10245288640623,2.3241178840458274,2.178831550794704,2.2703264505366523,2.4820529772038578,2.5394171779054933
1,94000,1.8761159358679014,2.0599463519020755,1.7050728202613803,2.0929083419825076,2.685715409243269,2.6908555914247305,3.1341888064472245,2.9310808254611773,2.0777677227470304,2.0247057148925096,2.2796968789485463,2.123806438653917,2.197524762021141,2.392776326585421,2.439938220961362
1,96000,1.7103075518641349,1.8692233812155108,1.568283450197547,2.0366467696080988,2.5764156356794516,2.5377950990559266,2.9085843475280693,2.691525651228679,1.8913709867721216,1.899113603985341,2.1326932969118184,1.9952971665912194,2.0367462798551546,2.180780156991882,2.274201340756049
1,98000,1.6154960236712608,1.809727571600186,1.5291924325058954,1.9951877812813543,2.439491908362466,2.3435428440891126,2.704283108811957,2.479096497027061,1.7630095609118208,1.7804955899053845,1.9810793356470975,1.848792272163195,1.885181415946489,2.02089060622314,2.1410638318077804
1,100000,1.6028902659092372,1.8053605013819354,1.5372256246485712,2.0208634161491923,2.418135961862307,2.2761697307498383,2.7070837363563265,2.491421051704758,1.7857563674876318,1.7665854893864397,1.9758406217358233,1.8232590551570784,1.9077996487009805,2.044928839288301,2.159712796366113
1,102000,1.4674934030453801,1.6796873305569748,1.471241369770757,2.0638442229185254,2.449467994207919,2.2474593969500467,2.714097630418125,2.508911037063492,1.8238671954189956,1.760745924654938,1.9666209180259044,1.8064083581514583,1.920078027845564,2.054281755132053,2.156095455540701
1,104000,1.3825052682195704,1.6007353908096758,1.438579470343486,2.0713465449957478,2.3847671008777094,2.0954182214306982,2.604089655097765,2.380970633797694,1.7843005366113984,1.6985619440361337,1.8702949940217688,1.6921083734549605,1.8405140227083279,1.9608926522065915,2.112458644570975
1,106000,1.2804619690915002,1.47961249017585,1.3798679379833314,2.0335130401902446,2.2791365372750465,1.9350636977880165,2.4912089777181396,2.2883239404786617,1.752898281341238,1.6143640706460942,1.76451170210569,1.5550452153082108,1.7447398772978446,1.8840547680785595,2.047475193888252
1,108000,1.2983226232423812,1.46662805103477,1.4365254650800545,2.132688016262596,2.3647232432965493,1.9955413022102508,2.4849717890361016,2.294353414716193,1.7972777974517462,1.702582202706881,1.8328223266691792,1.6181833013508764,1.7664243577585328,1.9272777727546728,2.119178038626384
1,110000,1.570414218699311,1.7266720565726732,1.7342965027105794,2.363145794385276,2.599576505461146,2.3357521641608407,2.7692574381150195,2.5588450639786062,2.025088545249349,1.9580202540383476,2.0781536436264836,1.8762384813999384,1.993304353204178,2.1890558269642977,2.379385380396365
1,112000,1.5297604524010762,1.6616888256093296,1.7726792483230756,2.4146922554215466,2.600240813894237,2.3282281087817696,2.7308518778365376,2.5005427251541703,1.987329776840765,1.9609529123204352,2.0520313290171113,1.8421207017183323,1.9114701177189395,2.104117997423538,2.3168406951338176
