orf_name,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
YAL058W,0.9891056409049164,1.0153054805954427,1.0224540449269766,1.1039448200054,1.1530269876515509,1.1590333648611402,1.0215617680619176,1.1494459860588933,1.1148076696826392,1.1478164529686192,1.177567940389084,1.1670834253413205,1.203171023138601,1.2045380132119623,1.1905642806950478,1.1647437963013338
YAL056W,0.9891796109095431,1.015941300785564,1.0256511547706095,1.1123798290091325,1.1635332187093612,1.1654076715236092,1.023451303331442,1.1504715862107213,1.1169489102774786,1.152522773766272,1.1848171923283222,1.174853060419829,1.2096262632768249,1.2091589784796715,1.1945891207760402,1.169264950675139
YAL055W,0.9891796109095434,1.015941300785564,1.025651154770609,1.1123798290091322,1.163533218709361,1.165407671523609,1.0234513033314423,1.1504715862107213,1.1169489102774783,1.1525227737662722,1.1848171923283222,1.1748530604198295,1.2096262632768244,1.2091589784796715,1.1945891207760402,1.1692649506751387
YAL054C,0.9893370667931375,1.0174301415710887,1.0339134695094918,1.1363011064967088,1.1958365723149118,1.1863360494062232,1.0299108078100556,1.1535367150187639,1.1227216081841023,1.1656750866851688,1.2059115965026028,1.198214165122644,1.2294526061057864,1.2233002081118556,1.2065314757501449,1.182434600595575
YAL053W,0.9893370667931374,1.0174301415710887,1.0339134695094916,1.136301106496709,1.1958365723149116,1.1863360494062232,1.0299108078100556,1.1535367150187639,1.1227216081841023,1.1656750866851686,1.2059115965026024,1.198214165122644,1.2294526061057867,1.2233002081118556,1.206531475750145,1.1824346005955757
YAL051W,0.989373181534775,1.0178097318498076,1.0362557537598325,1.143773070073505,1.2067901907441492,1.193911266734315,1.0323504469130294,1.1545779001527467,1.1244493192280796,1.1697420517065023,1.2127083461395967,1.2059963312614863,1.236205851732634,1.2281132638992753,1.2104797433973695,1.1867004559282248
YAL049C,0.9893731815347755,1.0178097318498078,1.0362557537598325,1.1437730700735047,1.2067901907441494,1.193911266734315,1.0323504469130294,1.1545779001527465,1.1244493192280793,1.1697420517065023,1.2127083461395967,1.2059963312614865,1.236205851732634,1.228113263899275,1.2104797433973697,1.1867004559282246
YAL048C,0.9893370667931375,1.0174301415710887,1.0339134695094914,1.1363011064967088,1.195836572314912,1.186336049406223,1.0299108078100558,1.1535367150187639,1.122721608184102,1.1656750866851686,1.2059115965026028,1.198214165122644,1.2294526061057864,1.2233002081118554,1.2065314757501446,1.1824346005955755
YAL047C,0.9893370667931373,1.017430141571089,1.0339134695094914,1.1363011064967088,1.1958365723149118,1.1863360494062227,1.0299108078100558,1.1535367150187639,1.1227216081841025,1.1656750866851686,1.2059115965026026,1.198214165122644,1.2294526061057867,1.2233002081118554,1.2065314757501449,1.1824346005955753
YAL046C,0.989293675403723,1.0169964644971572,1.0313714345223113,1.1285701041498049,1.1849592492831835,1.1790584712273016,1.0276186506914682,1.1525097895858156,1.1208995602661889,1.1614503001637535,1.1989935432069094,1.1904242922007373,1.2227689588659265,1.2185375126828888,1.2025688158024335,1.178107766118506
