orf_name,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
YAL032C,0.98933324118966,1.0173854182242896,1.0336049719044502,1.135232534488051,1.1938659924723054,1.184540269179197,1.029103641975407,1.1531514716690785,1.1223836766901918,1.165037776959533,1.204780809019192,1.1967383559830151,1.2280272617072618,1.2222277707978095,1.2056934552135319,1.181616956862323
YAL031C,0.9893993404552032,1.0180964279511713,1.0380992376474196,1.1498972559536866,1.2157933677706543,1.1999643845895092,1.0341338117484655,1.1552546111272526,1.1257505570501871,1.1730131656358977,1.2182383865857978,1.2122719264423896,1.241586830690011,1.2318990100346756,1.2135748694035424,1.1900856645425775
YAL030W,0.9893993404552032,1.0180964279511713,1.0380992376474192,1.1498972559536866,1.215793367770654,1.1999643845895092,1.0341338117484655,1.1552546111272524,1.1257505570501871,1.1730131656358977,1.2182383865857975,1.2122719264423898,1.241586830690011,1.2318990100346756,1.2135748694035424,1.1900856645425772
YAL029C,0.9893993404552033,1.018096427951171,1.0380992376474194,1.1498972559536866,1.215793367770654,1.1999643845895092,1.0341338117484655,1.1552546111272526,1.125750557050187,1.173013165635898,1.2182383865857975,1.2122719264423898,1.2415868306900109,1.231899010034676,1.2135748694035426,1.190085664542577
YAL028W,0.9893993404552033,1.018096427951171,1.0380992376474194,1.1498972559536866,1.215793367770654,1.1999643845895092,1.0341338117484655,1.1552546111272528,1.1257505570501873,1.1730131656358975,1.2182383865857975,1.2122719264423898,1.241586830690011,1.2318990100346758,1.2135748694035429,1.1900856645425772
YAL027W,0.9893993404552032,1.018096427951171,1.0380992376474194,1.1498972559536866,1.215793367770654,1.1999643845895092,1.0341338117484655,1.1552546111272526,1.1257505570501871,1.1730131656358977,1.2182383865857975,1.2122719264423898,1.2415868306900109,1.2318990100346758,1.2135748694035429,1.1900856645425775
YAL026C,0.989424161441191,1.0183849833865417,1.0400727190009214,1.156823241737667,1.226815481545411,1.2081155923444045,1.0368868243737484,1.1563449687363843,1.1273086560582657,1.1767715551405156,1.224777249889143,1.2200134326444363,1.2484652245122039,1.236815523315004,1.2175037492351815,1.194236044872168
YAL025C,0.9893993404552031,1.0180964279511713,1.0380992376474194,1.1498972559536866,1.2157933677706538,1.1999643845895094,1.0341338117484655,1.1552546111272526,1.1257505570501871,1.1730131656358975,1.2182383865857975,1.21227192644239,1.241586830690011,1.2318990100346758,1.2135748694035424,1.1900856645425772
YAL024C,0.9893332411896602,1.0173854182242896,1.03360497190445,1.1352325344880512,1.1938659924723056,1.184540269179197,1.0291036419754067,1.1531514716690787,1.1223836766901922,1.165037776959533,1.2047808090191923,1.1967383559830151,1.228027261707262,1.2222277707978095,1.2056934552135319,1.1816169568623232
YAL023C,0.9892898499680332,1.016951760213574,1.0310636954059915,1.1275088023379811,1.1830065938242298,1.1772737072135995,1.026813281275402,1.1521248891954727,1.120562177196189,1.160815300256325,1.1978692428060507,1.1889580776444386,1.2213513630370563,1.2174692507072098,1.20173354761044,1.1772931143554592
YAL022C,0.9895034731237703,1.019458086034326,1.0487143767935625,1.1924114202072824,1.2922269099299073,1.2627043428315574,1.0570845490967207,1.1638440197749467,1.1352892371721504,1.1963004225654539,1.2611335278461775,1.2656895005565385,1.2908669303327405,1.267495719599535,1.2411010648469776,1.2181131506979186
YAL021C,0.9891018161963249,1.015260850642721,1.022148966568461,1.1029066756904682,1.1511269523185883,1.1572789132450716,1.0207611455702317,1.149062108878231,1.1144721202298697,1.1471889070966377,1.1764637308502428,1.1656459591220394,1.2017761478341114,1.2034820242543955,1.1897373504927005,1.1639383856127334
YAL020C,0.989101816196325,1.0152608506427212,1.022148966568461,1.1029066756904684,1.1511269523185883,1.1572789132450718,1.0207611455702317,1.1490621088782307,1.1144721202298697,1.1471889070966377,1.1764637308502428,1.1656459591220396,1.2017761478341111,1.2034820242543958,1.1897373504927007,1.1639383856127337
YAL019W,0.9891018161963249,1.0152608506427212,1.022148966568461,1.1029066756904682,1.1511269523185883,1.1572789132450716,1.0207611455702317,1.1490621088782311,1.1144721202298697,1.1471889070966375,1.1764637308502428,1.1656459591220396,1.2017761478341114,1.2034820242543958,1.1897373504927005,1.1639383856127332
YAL018C,0.989101816196325,1.015260850642721,1.022148966568461,1.1029066756904684,1.1511269523185885,1.1572789132450716,1.0207611455702317,1.1490621088782311,1.1144721202298697,1.1471889070966375,1.1764637308502433,1.1656459591220396,1.2017761478341114,1.2034820242543958,1.1897373504927002,1.1639383856127337
YAL017W,0.9891018161963251,1.0152608506427212,1.0221489665684613,1.1029066756904682,1.1511269523185883,1.1572789132450712,1.0207611455702317,1.149062108878231,1.1144721202298697,1.1471889070966377,1.1764637308502428,1.1656459591220396,1.2017761478341114,1.2034820242543958,1.1897373504927002,1.1639383856127334
YAL016W,0.9889098707612999,1.013733344139925,1.0150420629950898,1.0854513747279295,1.1306694237429653,1.145444162791266,1.0173377230883869,1.146962898664579,1.1098296147555533,1.1372938710053078,1.1616873421123748,1.150192600014697,1.1891250899940002,1.1943738387790979,1.181606540177812,1.154694082071329
YAL015C,0.9889098707613001,1.0137333441399252,1.0150420629950896,1.0854513747279293,1.1306694237429655,1.1454441627912662,1.017337723088387,1.1469628986645788,1.1098296147555535,1.137293871005308,1.1616873421123743,1.1501926000146967,1.189125089994,1.1943738387790979,1.181606540177812,1.1546940820713287
YAL014C,0.9889098707612999,1.0137333441399252,1.0150420629950894,1.0854513747279295,1.1306694237429653,1.1454441627912657,1.0173377230883869,1.146962898664579,1.1098296147555535,1.137293871005308,1.1616873421123746,1.1501926000146967,1.189125089994,1.1943738387790976,1.181606540177812,1.154694082071329
YAL013W,0.9889098707612999,1.0137333441399252,1.0150420629950894,1.0854513747279297,1.1306694237429653,1.1454441627912657,1.0173377230883869,1.1469628986645792,1.1098296147555535,1.1372938710053078,1.1616873421123746,1.1501926000146967,1.1891250899940002,1.1943738387790979,1.1816065401778117,1.154694082071329
YAL012W,0.9889098707613,1.0137333441399252,1.0150420629950894,1.0854513747279297,1.1306694237429655,1.1454441627912662,1.0173377230883869,1.1469628986645792,1.1098296147555533,1.1372938710053082,1.1616873421123748,1.150192600014697,1.189125089994,1.1943738387790976,1.1816065401778117,1.154694082071329
YAL011W,0.9889098707612999,1.0137333441399252,1.0150420629950896,1.0854513747279295,1.1306694237429653,1.1454441627912657,1.017337723088387,1.1469628986645788,1.1098296147555535,1.1372938710053082,1.1616873421123746,1.1501926000146967,1.1891250899940002,1.1943738387790976,1.181606540177812,1.154694082071329
YAL010C,0.9890139614456938,1.0145426608087014,1.0187175917477758,1.09427473723059,1.1408060767848724,1.1512140687234687,1.0189932881616357,1.1480231750668077,1.112213343007189,1.1423233662749894,1.169123004811046,1.1579069193371125,1.1954100140924,1.198908416129775,1.1856880892087862,1.1593521368673905
YAL009W,0.9890139614456936,1.0145426608087016,1.0187175917477758,1.0942747372305899,1.1408060767848724,1.1512140687234687,1.0189932881616355,1.1480231750668077,1.1122133430071888,1.1423233662749896,1.1691230048110457,1.1579069193371125,1.1954100140923998,1.198908416129775,1.185688089208786,1.1593521368673905
YAL008W,0.9890139614456939,1.0145426608087016,1.0187175917477758,1.0942747372305899,1.1408060767848722,1.1512140687234684,1.0189932881616357,1.1480231750668077,1.112213343007189,1.1423233662749892,1.1691230048110457,1.1579069193371128,1.1954100140924,1.198908416129775,1.1856880892087862,1.1593521368673905
