"","X0","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YAL061W",8.62484379440779,9.14457773637263,8.1151977460671,7.7488213299406,7.76992100082505,7.86725791608421,7.877960534657,7.86120505681276,7.9869080537385,8.17026709913955,7.86864221628199,8.00420080745171,7.92015900435491,7.97141619239641,8.17593852321544,8.30417502243006
"YAL060W",11.3032308550773,12.2575825797994,11.5777710920544,11.0915530696589,10.7965234547862,10.6459409648932,10.7151796378913,10.8680986067319,10.9573054416578,10.9610514165529,11.0982245289076,11.2110718316608,11.5494566625278,11.6581422388449,11.9036972626551,11.91386237037
"YAL059W",9.02878462544379,10.7623735112922,11.1584058258919,11.3387335925616,11.4046766158269,11.3941073966919,11.2757583977449,11.1310369310736,10.9633752069044,10.8459909156309,10.8366182357198,10.8843321748336,10.7090842842244,10.3885519999796,9.9943292229597,10.0077810023207
"YAL058W",9.98407793269127,10.4301669314921,10.4803832561791,10.3228682651745,10.2801823807423,10.2970891787291,10.3063322885352,10.3101742455122,10.2378915769819,10.3420879478726,10.3088422501978,10.366741584987,10.3864266410649,10.2771030853299,10.356235386519,10.2950477342785
"YAL056W",11.6773476613084,11.4561281819176,11.3706653038552,11.2291421637317,11.3767441865914,11.5071896958307,11.6246641043576,11.6577988737894,11.607772262234,11.5432515257483,11.6470868072392,11.7006577583656,11.7225633269375,11.8064989423648,11.7818580112442,11.783755503872
"YAL055W",8.8010426889056,8.17501621478444,8.14249010691303,7.82645020062456,7.99046834209649,7.96045803357981,7.89786772758967,8.06530378095482,8.10770071729497,8.29310479120704,8.19776402195223,8.21326419529015,8.24817608755072,8.25732184962918,8.27960909973358,8.48718966553858
"YAL054C",8.88346520261033,10.3818528993702,9.23543302017861,8.51090625388504,8.27051833487655,7.89900977085648,8.03590167679534,7.96691687394001,8.02247930509961,7.97318667160673,8.05323004056851,7.89838105636678,7.82084080281608,7.87637655221571,7.95376953267134,8.09883029792459
"YAL053W",13.4209743715571,12.5634045594088,13.0374270928153,13.1910977068825,12.9388624542152,12.5356485872126,12.3134671519712,12.4463929165771,12.7528550512999,12.6740294953438,12.333188818079,12.1338639425453,12.0379133829589,12.1524745388974,12.4338405504061,12.4757571436512
"YAL051W",10.7861035162768,10.7631132723449,10.7392179284253,10.6995864634249,10.6803916517703,10.7497317590225,10.9420416894046,10.9732813086361,10.8848036682985,10.7902477666102,10.7604753002867,10.8162860661427,10.9030083680719,10.8887746206856,10.8257525459124,10.7492563126892
"YAL049C",11.6228938827172,11.3527955026527,11.1394566264727,10.9028073132712,10.6955477096519,10.6798648827601,10.6311975532081,10.7100316639385,10.7587231518032,10.7656821403072,10.6233078136439,10.5735048156155,10.5841581576702,10.5876971202211,10.8168359670345,10.8203058087183
"YAL048C",10.2022974372379,9.98893375702912,10.0876827691719,10.0429200220896,10.1678269860535,10.1373020437897,10.1171889962437,9.97364011404759,10.0337751986965,10.0299572982147,10.0657402379296,10.1262540666099,10.059227280698,10.0654206186864,10.0074547768623,10.015070345063
"YAL047C",9.23391736867622,9.86480856816804,10.1963308987142,10.0355795930043,9.85663283149728,9.66876677686241,9.74082353221441,9.84713611108524,9.97036927639866,9.91216330609344,9.6867405773515,9.68387846640164,9.74886658920033,9.68584257119562,9.70468775324493,9.79981641016164
"YAL046C",9.85285199345518,9.98132239294234,10.1402285359761,10.1129446587492,10.2445540022989,10.1712235633669,10.1736158460835,10.0753481013198,10.0395340563926,10.175234571372,9.78104259853268,9.78314701324174,9.67050149801356,9.65932767806911,9.68521172147975,9.82215494946605
"YAL044W-A",10.3210998958391,10.2359903355129,10.2943409023722,10.3144021320098,10.308803930128,10.2031045431915,10.1311566533427,10.0942775154429,10.0679882035427,10.0854306129639,9.72977876845774,9.68519540718829,9.73228024286869,9.55488618785844,9.7876905917434,9.73800686629419
"YAL044C",10.0616187797515,10.3585443095763,10.3123718616299,10.429750291518,10.4618026898204,10.4247896562576,10.2253151366504,9.94504668855887,9.88177547251644,10.1102197850391,10.5120769656252,10.7238899292875,10.8112777025866,10.7013184420574,10.7806079550891,10.8175300259194
"YAL043C",11.6594238261628,11.5615079374947,11.4721525461651,11.5486590423869,11.6616197335781,11.6955288321544,11.7731876825145,11.6748214897681,11.6289275422896,11.5921895087811,11.6063893835925,11.6418882271797,11.6510598984039,11.6052302277107,11.6361557495213,11.5952816138392
"YAL042W",12.7611090474615,12.8380628456903,12.965998631059,12.9478051020682,13.0019328557411,13.028670064724,13.0288359793196,13.0090955009827,13.037522645679,13.0531476065223,13.0673449058219,13.0937538655371,13.1135321677135,13.0267829760326,13.0909869689687,13.0466842416465
"YAL041W",11.7745862511499,11.5244693134338,11.5425688184344,11.5918222480971,11.6353378035102,11.7022351411267,11.7575203415895,11.6266426221266,11.6855539564221,11.6756165050193,11.6710501865861,11.709092379636,11.6912802923082,11.7759933786104,11.7641884032704,11.7212767527476
"YAL040C",11.7058787041596,11.6497460909157,11.2185915368856,11.3775572611855,11.5581617364346,11.9645701566182,12.3198818330734,12.1524384730055,11.6586879266431,11.2518252479814,10.8282691485064,10.8871942418453,11.0870195017709,11.1551238086938,10.83019024827,10.481973747385
"YAL039C",11.5725144283735,10.7741643948751,10.625247788458,10.4252643283507,10.2650207541367,10.268447019671,10.2914842961529,10.2761501497118,10.2023983973629,10.0511990368619,10.0251303137831,10.0809625726023,10.2849183460913,10.2099374814609,10.3480053601756,10.4410763146032
"YAL038W",18.7543950470227,18.5114744172363,18.4255142752781,18.3917758923636,18.4673012081925,18.518257979836,18.5826339132148,18.5219692082882,18.5488147520163,18.6020086126882,18.4152250957878,18.4954533545665,18.5577235659569,18.4939539317744,18.5587398394497,18.525755025057
"YAL037C-A",5.33235403661721,5.10194931130897,5.35477048431873,5.39635542257073,5.40170724055062,5.27336587656061,5.16589045280423,5.096869381489,5.33523448568925,5.10016550178218,4.88254952156257,5.10549177112778,4.93802750096941,4.86514085660294,4.96968422699419,5.02781873776624
"YAL037W",7.77447450643115,7.6829893235581,7.83151009723709,7.39617079323715,7.50846815216204,7.30689955815793,7.12791373890949,7.54760955037309,7.64197530520422,7.51594813451391,7.51018248151606,7.20971549388305,7.03546487596822,6.96251814981179,7.37415875969141,7.40670093939813
"YAL036C",11.2386568087761,12.2090088393546,12.357029725808,12.3568617402574,12.3669182973721,12.4161920988056,12.3684305261684,12.2354228101926,12.1579798634107,12.1128873295709,12.1817701070566,12.241101353068,12.1737837332216,12.0098657305248,11.9086009395926,11.8676530731911
"YAL035W",14.2637891246958,14.5646943266508,14.8684727920072,14.9912167379039,15.0085104603152,14.9412465451672,14.8959300651529,14.8129337731204,14.7319772248463,14.7550659579075,14.6357423305583,14.6987307516071,14.6779883800511,14.5831910036722,14.5350336014915,14.4818282520199
"YAL034W-A",8.62919711741848,9.36158167437027,9.95239344582162,9.57469889626052,9.32417337287966,8.80982088881895,8.48813793423626,9.2569380600674,9.67344796427621,9.59631065409332,9.25274698965923,9.01934404912247,8.57192011209664,8.84801209515065,9.29111182882403,9.43509897997473
"YAL034C",9.68362827044843,8.93173471084829,9.03258228789342,9.09020027306753,9.21258290404721,9.21501223937248,9.12766763806272,8.8939737919053,9.13638406983455,9.02910757017716,8.95893458438347,8.86500026546467,8.91155580587831,8.81725271051825,8.84947811703444,9.0674700322103
"YAL033W",8.95796101942165,9.17384027011012,9.49796529828554,9.62253399892522,9.73715661965947,9.87446511037749,9.78036859493703,9.53591982027043,9.5777157044467,9.67663726054835,9.63890710009515,9.64379980251949,9.59910884771699,9.47842076906674,9.3766067700764,9.30823440151707
"YAL032C",9.91818481870587,9.69834574651587,9.53086929073863,9.4586864570487,9.56619458251789,9.9058062686579,9.86807076238761,9.7640807232147,9.77015830833681,9.664870119307,9.60907092740212,9.78928303706187,9.81139361716507,9.839608072403,9.80583786913171,9.76276104113049
"YAL031C",10.5258750647326,9.72594186910421,9.81718095314811,9.87045837366711,9.84478127865961,9.99156168311644,10.1213935218665,9.96733486150933,10.0308871187942,9.94981650241294,9.99424334674395,10.0739439139157,10.1462933002679,10.1861071844272,10.1420802174111,10.1732919600977
"YAL030W",11.132593849769,10.8003466350437,10.6864337859895,10.4879082037736,10.3161779118835,10.2624076068563,10.1790044759287,10.2607667155004,10.2303591098001,10.4082484435414,10.5101800946576,10.5397046958043,10.5467215881793,10.5191304234654,10.5426576849331,10.6660624597599
"YAL029C",13.2355939629085,13.3083564836313,13.2227727990037,13.1250521077152,13.0891438267728,13.2348230885097,13.2679756710378,13.0693690274457,13.0767164802281,13.1878019959169,13.1662494520912,13.2272381138652,13.1636499832721,13.1516821568166,13.0796959785464,13.003226995561
"YAL028W",9.98068396313957,8.47991556203002,8.25922676778976,8.11165583608906,8.25518018137945,8.09792303768041,7.98724495230747,8.02920160007014,8.00480492464886,8.2033449102021,7.96672250399314,7.96106327014443,7.84438593156791,8.01169698540965,8.20371743567855,8.22638847027699
"YAL027W",9.43343098515719,9.00874065289799,9.02530206354061,9.11272428980218,9.05087389760983,9.08400883550781,9.14706629285464,9.04552629383329,9.02744905453977,9.06838350907706,9.03754520604056,9.07269825793993,9.20421569170361,9.08937888725061,9.23860333218443,9.18211962900465
"YAL026C",12.4765004814126,12.4733938038533,12.5565357962405,12.6274365318641,12.6049687439327,12.6268244108817,12.7204815849347,12.7973693124771,12.7644153159279,12.7940388378784,12.7827628592565,12.7698544343776,12.7527707562308,12.8378283267139,12.8387595440515,12.824697827531
"YAL025C",10.3304609362708,12.2938648657628,12.378339879239,12.3966375570473,12.4535906383637,12.4614306295164,12.4762815311404,12.3585220254588,12.180623712364,12.1481549470083,12.2523918837436,12.3323319274204,12.1799088543101,11.9745855391926,11.7214342991803,11.7078501975085
"YAL024C",10.6226593325521,11.2951485719634,11.8786156127036,11.8980769050673,11.8259971692306,11.5924476348086,11.3221446002133,11.2776914127434,11.4717519813747,11.6076282704308,11.5961448172513,11.4848732143486,11.204349304529,11.1892997403764,11.2865956932537,11.3261734164858
