orf_name,chr,prom_sm_occ,gb_nuc_occ,time
YAL012W,1,0.05708204806710657,0.11051884441749242,0
YAL011W,1,0.03036436206863148,0.1296671290405617,0
YAL010C,1,0.011955726891397301,0.186485132133885,0
YAL009W,1,0.01647751280199355,0.14682986276239748,0
YAL008W,1,0.028292504386312346,0.1695626305743317,0
YAL007C,1,0.05661902983132193,0.12158424034320486,0
YAL005C,1,0.06400968345198942,0.095794625106994,0
YAL003W,1,0.07516809645178284,0.15717755177367723,0
YAL002W,1,0.06631445626623819,0.13575101288819347,0
YAL001C,1,0.03194935969843819,0.20435877227604077,0
YAR002W,1,0.025073983006373004,0.19376759329336268,0
YAR002C-A,1,0.04217988214242175,0.14919129115670818,0
YAR003W,1,0.04299682606709237,0.15768164672847926,0
YAR007C,1,0.047896124071447756,0.16601749263671972,0
YAR008W,1,0.04755828381818482,0.15647980853596494,0
YAR014C,1,0.06273186369175673,0.1596251578436057,0
YAR015W,1,0.05821645224541849,0.1570510963504962,0
YAR018C,1,0.036057558941916035,0.1727679503579646,0
YAR019C,1,0.026076840035905036,0.14597859614697667,0
YAR020C,1,0.011696486749646096,0.10673163830462834,0
YAR023C,1,0.011292369851713611,0.1496342658380366,0
YAR027W,1,0.018075893171839604,0.13809800184416338,0
YAR028W,1,0.04014547225108232,0.15468628594989284,0
YAR029W,1,0.008786205174999345,0.14624574255325698,0
YAR031W,1,0.012402361642706208,0.15868787591006428,0
YAR033W,1,0.023606759563421252,0.06437837591440711,0
YAR035W,1,0.04024671667355502,0.09590802993252788,0
YAR035C-A,1,0.03810148501877045,0.08025851976437731,0
YAR042W,1,0.04111750424847239,0.10781655923894186,0
YAR050W,1,0.01368702522053697,0.08126489699205797,0
YAR064W,1,-0.0,0.001702329456028551,0
YAR066W,1,-0.0,-0.0,0
YAR068W,1,-0.0,0.0012589511730447633,0
YAR071W,1,-0.0,-0.0,0
YBL113C,2,-0.0,-0.0,0
YBL112C,2,-0.0,-0.0,0
YBL111C,2,0.0005373014858847656,-0.0,0
YBL108C-A,2,-0.0,0.002204794214467363,0
YBL107C,2,0.046518329020961646,0.18629926930254712,0
YBL106C,2,0.04231125184018837,0.14119060097200228,0
YBL105C,2,0.06179234977605916,0.1527778657929572,0
YBL104C,2,0.04540911045669313,0.17444962336433611,0
YBL103C,2,0.04866638542343507,0.16535054615128592,0
YBL102W,2,0.04780258887055761,0.11603481416420959,0
YBL101C,2,0.03959846091946907,0.16812603275122032,0
YBL100W-C,2,0.02500502442476764,0.1744022025941558,0
YBL099W,2,0.055801663894216806,0.17619054865873565,0
YBL098W,2,0.043955051389127725,0.1579219487232407,0
YBL097W,2,0.07159921003661082,0.1821591392154126,0
YBL095W,2,0.044205922502607506,0.17215877818766936,0
YBL093C,2,0.06791851771621116,0.15024564699531426,0
YBL092W,2,0.07046989825867912,0.1327352440923006,0
YBL091C-A,2,0.024121002841161417,0.192407469952833,0
YBL091C,2,0.02461509348800429,0.129701196982074,0
YBL090W,2,0.02499326698676105,0.15997190730192018,0
YBL089W,2,0.018494385402215697,0.22260349842638505,0
