,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
191,162281,165051,172671,185363,197108,218075,181025,173535,133736,160968,161254,163176,156500,162587,166925
192,156939,160319,166471,178793,190049,209602,172851,166598,127937,155251,154809,156319,150337,155335,159397
193,151065,154856,160841,171368,182128,201720,166321,159541,122508,148864,148354,150878,143141,148606,152465
194,146838,150827,155465,165042,174890,194207,158623,153557,118007,143328,142605,144752,138373,142004,146141
195,142883,146735,151785,159855,168572,188075,152832,148015,114057,138351,137775,139815,133266,137451,140150
196,139371,142252,147034,154203,162778,180678,146966,143469,110454,134057,132906,134993,128777,132014,134785
197,135774,138207,143147,148158,156981,174654,140987,136613,104887,128400,127925,129840,123846,126154,130085
198,134107,135977,140204,143335,151194,170346,136079,131917,101325,124755,122575,126110,119249,122461,125872
199,128511,131134,135783,137513,145504,163527,130359,126351,97473,119711,118893,120816,114157,117267,120480
200,124904,127167,130868,133276,138408,156632,124171,121143,93075,114899,113939,116807,109398,111484,114695
201,120544,123106,126633,128124,133576,150963,119219,115631,89125,110482,108659,112077,104804,107019,109743
202,117576,120250,123928,122877,129007,145637,115612,112579,86528,106531,105000,107716,100835,102836,105793
203,114388,117525,120453,119158,123885,139877,110364,107958,84214,102403,100970,102786,96762,98652,102434
204,112295,114702,117337,116015,120170,137182,107484,104883,80676,99760,97996,100674,94178,95659,98904
205,110862,112514,115204,112749,116744,132329,103824,101690,78513,96447,94965,97458,91769,93371,95641
206,106949,109571,112582,108214,112168,128266,100219,97564,75730,92991,91562,94794,87293,88942,91338
207,104765,107408,109649,105476,108933,123849,96991,94647,73457,90090,88723,91660,84985,86643,88893
208,103155,104903,107582,101881,105136,120416,93703,91729,71088,87639,85841,88784,82562,84039,86154
209,101886,103512,105056,99685,101890,117269,91488,89948,69154,86224,83914,86240,80352,80990,84329
210,99145,100380,102575,96280,98198,113626,87925,87081,67209,83333,81259,83647,77459,78441,80884
211,96974,98239,100034,93562,95555,110069,85241,84330,64588,80442,79263,80789,75371,76242,77855
212,95337,96790,97475,90851,93087,106404,82325,81372,62721,78017,75837,78442,72829,74105,75714
213,93357,94056,94941,88059,89485,103480,80843,79052,61081,75153,73161,76108,70397,71139,73623
214,92821,93146,94396,85632,87117,101438,79318,77905,59796,74571,72159,75080,69089,70362,71981
215,91308,92403,92371,84243,86417,99025,77715,75934,58608,72605,70666,73230,67875,68399,70094
216,89346,90491,90617,82142,83568,97265,75658,74263,56778,70215,68055,71456,65292,66263,68292
217,88139,89002,88870,79908,81707,94672,73625,73274,55953,68979,66490,69443,64294,64707,66053
218,88057,87957,87862,78031,79458,93691,72093,71055,54171,67617,64862,68946,63211,63414,65295
219,86266,86329,85987,76096,77169,90892,70469,68735,52779,66122,63824,66789,61154,61682,64027
220,83679,83963,83021,73640,74751,86965,67874,66813,51162,63290,61078,64275,59446,60489,61184
