orf_name,coverage_rep1,coverage_rep2
YBR204C,0.98,0.98
YBR205W,0.98,0.98
YBR207W,0.98,0.98
YBR208C,0.98,0.98
YBR210W,0.98,0.98
YBR211C,0.98,0.98
YBR212W,0.98,0.98
YBR213W,0.98,0.98
YBR214W,0.98,0.98
YBR215W,0.98,0.98
YBR216C,0.98,0.98
YBR217W,0.98,0.98
YBR218C,0.98,0.98
YBR219C,0.98,0.98
YBR220C,0.98,0.98
YBR221C,0.98,0.98
YBR221W-A,0.98,0.98
YBR222C,0.98,0.98
YBR223C,0.98,0.98
YBR225W,0.98,0.98
YBR227C,0.98,0.98
YBR228W,0.98,0.98
YBR229C,0.98,0.98
YBR230C,0.98,0.98
YBR230W-A,0.98,0.98
YBR231C,0.98,0.98
YBR233W,0.98,0.98
YBR233W-A,0.98,0.98
YBR234C,0.98,0.98
YBR235W,0.98,0.98
YBR236C,0.98,0.98
YBR237W,0.98,0.98
YBR238C,0.98,0.98
YBR239C,0.98,0.98
YBR240C,0.98,0.98
YBR241C,0.98,0.98
YBR242W,0.98,0.98
YBR243C,0.98,0.98
YBR244W,0.98,0.98
YBR245C,0.98,0.98
YBR246W,0.98,0.98
YBR247C,0.98,0.98
YBR248C,0.98,0.98
YBR249C,0.98,0.98
YBR250W,0.98,0.98
YBR251W,0.98,0.98
YBR252W,0.98,0.98
YBR253W,0.98,0.98
YBR254C,0.98,0.98
YBR255W,0.98,0.98
YBR255C-A,0.98,0.98
YBR256C,0.98,0.98
YBR257W,0.98,0.98
YBR258C,0.98,0.98
YBR259W,0.98,0.98
YBR260C,0.98,0.98
YBR261C,0.98,0.98
YBR262C,0.98,0.98
YBR263W,0.98,0.98
YBR264C,0.98,0.98
YBR265W,0.98,0.98
YBR267W,0.98,0.98
YBR268W,0.98,0.98
YBR269C,0.98,0.98
YBR270C,0.98,0.98
YBR271W,0.98,0.98
YBR272C,0.98,0.98
YBR273C,0.98,0.98
YBR274W,0.98,0.98
YBR275C,0.98,0.98
YBR276C,0.98,0.98
YBR278W,0.98,0.98
YBR279W,0.98,0.98
YBR280C,0.98,0.98
YBR281C,0.98,0.98
YBR282W,0.98,0.98
YBR283C,0.98,0.98
YBR284W,0.98,0.98
YBR285W,0.98,0.98
YBR286W,0.98,0.98
YBR287W,0.98,0.98
YBR288C,0.98,0.98
