,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
117,89193,101012,96220,116165,131208,108033,156591,149366,123127,102333,109756,92787,103589,119274,127992
118,88011,101747,95746,117943,132132,110121,158223,150292,123506,103830,110754,94113,104325,119423,128563
119,88993,101842,96557,118317,132930,110724,158748,151777,124461,104080,111419,94795,105276,120383,128754
120,90084,102813,97979,121491,134920,113374,160652,153826,125568,105849,113071,96714,106851,122763,130076
121,91684,104727,100820,123665,139516,117086,165933,159386,128412,108543,116340,99385,109366,126257,133419
122,95020,107918,102328,127592,144400,120796,170502,164617,131804,112717,119765,102493,113203,129436,138020
123,97802,110793,106155,133749,150237,125198,178951,172611,137016,117233,125264,106040,117098,135116,142569
124,101963,115275,110253,139917,157318,130692,187897,180281,142520,122850,131387,111991,122341,141795,149509
125,105043,119422,113275,145775,163355,136879,195548,187912,147637,127536,136484,115797,127065,147898,154700
126,108443,122969,118044,152170,169907,142606,203257,196328,153368,133940,142224,121437,133376,153266,161249
127,112609,128101,121701,157834,177188,148325,210670,202479,158470,138983,146941,125525,137627,159087,167955
128,115342,131094,124988,163022,182268,152923,217246,208913,162703,142300,152791,129426,141672,164499,172721
129,118881,134594,128399,167863,189515,158860,225355,216261,167532,148760,157027,135055,147061,168905,178526
130,122676,138599,132674,175390,195306,166254,232137,223011,172807,153680,162209,139877,152950,175603,185238
131,126073,141044,135934,180316,201602,171159,238024,229053,176931,157938,167739,144512,156269,181046,189867
132,129360,145788,141293,186935,209815,176772,248013,237286,181933,164948,174202,149539,163132,187844,196148
133,134548,150375,145534,194244,217118,186024,257446,246520,187874,171172,181555,156110,169954,195696,204348
134,137072,154358,150127,200990,225265,192956,263841,252505,193014,177528,187035,161322,175131,201448,210701
135,141270,158466,154311,206865,232925,199371,272750,259468,197877,183324,193601,167609,180964,209754,218130
136,144210,161986,157815,213178,239676,206839,279388,267001,202723,189058,199168,172669,186544,214858,223661
137,146361,163369,159988,216852,244245,210295,281579,269771,205213,191818,203195,176506,189611,217501,227041
138,148259,165047,162940,220907,248949,216026,287410,274345,207961,195681,207238,180181,193438,220681,231137
