length,0_replicate1,10_replicate1,20_replicate1,30_replicate1,40_replicate1,50_replicate1,60_replicate1,70_replicate1,80_replicate1,90_replicate1,100_replicate1,110_replicate1,120_replicate1,130_replicate1,140_replicate1,150_replicate1,0_replicate2,10_replicate2,20_replicate2,30_replicate2,40_replicate2,50_replicate2,60_replicate2,70_replicate2,80_replicate2,90_replicate2,100_replicate2,110_replicate2,120_replicate2,130_replicate2,140_replicate2
29,0.649310069802574,0.969259959270509,1.5553241206898867,1.7148445433247468,1.8577482552684756,1.3933111914513567,0.4811434330191735,0.2685901091954423,1.8577482552684756,1.3375787437933024,0.21367072584557548,0.5620078755434044,0.5918490016784524,0.07822097916919897,0.10179442494621785,0.5437311966639441,0.9835137822009576,0.7687234159731623,1.1146489531610853,0.5971333677648673,0.1759972031306977,0.649310069802574,0.16595269774110452,0.24769976736913007,0.10700629950346419,0.17646157569832485,0.23221853190855946,0.2821896083952115,0.35764137534580276,0.10910103946111765,0.16391896370015963
30,0.9881639655683382,1.2222027995187341,1.688862050244069,1.4513658244284968,1.5743629281936233,1.2222027995187341,0.48378860814283225,0.274004167443728,1.8577482552684756,1.3269630394774825,0.25588818943091957,0.6495623270169495,0.5916395717415528,0.08568949516921014,0.10966636689896551,0.42030503512861445,1.1467581822644912,0.654136709601576,1.308273419203152,0.47634570647909635,0.19231348398224388,0.7372016885986015,0.16557471080824204,0.2601888312700947,0.11044876666281069,0.20192915818135604,0.2227515893607285,0.2772758589952949,0.38383228414637927,0.12063300358886206,0.1474403377197203
31,0.8769494869590321,1.4555553340247853,1.8577482552684759,1.8101136846205663,1.4407027285755527,1.3575852634654246,0.5670235638570449,0.29171253595124824,1.5515260153890569,1.2494590035433997,0.2639044250474844,0.7470310444465829,0.7203513642877764,0.09992134989412892,0.12685432830224994,0.3847108103553247,1.5515260153890569,0.6787926317327123,1.1117233653575131,0.5762810914302211,0.2014106524970102,0.7800489911624539,0.17626575206042966,0.2715170526930849,0.13085159165931803,0.1939407519236321,0.222695374448587,0.3096247092114126,0.4291454936182497,0.14753277680293017,0.1548123546057063
32,0.6284919470560018,1.0440238128781516,1.5595911278797079,1.0354662406414454,1.1917630316816636,0.8959353287819599,0.40360025993053145,0.1852300313170914,1.8577482552684756,0.9869287606113778,0.19257146548514686,0.546869616269508,0.367229306274001,0.07422260949368763,0.08658456570134088,0.22639226049866729,1.0440238128781516,0.3651065935209721,0.9357546767278248,0.4401633496803357,0.1289049809778126,0.5135239079603916,0.12360751600612167,0.173764623601453,0.09194096168723169,0.14020741549196042,0.15538361790683436,0.2050761061010655,0.2653926078954965,0.105624482741017,0.09695079152590663
33,0.8637501113056382,1.360908605603651,1.8577482552684759,1.4016543722384907,1.4360507985510917,1.3299788645672044,0.565401642907797,0.27409400487567676,1.7733051527562724,1.231980421914884,0.28066700259451793,0.7624634533023712,0.5418432411199721,0.10664067433431797,0.12784067731503437,0.2684361011053073,1.4909317207887132,0.5213280181822448,1.0938143932889157,0.5393462676585897,0.16913026023397973,0.666883989070735,0.17275002226112765,0.26419444713750334,0.1300423778687933,0.18548041217419015,0.1998943468521161,0.27570822162995046,0.33391766071872747,0.16021648197387267,0.13239608606551354
34,0.76824175969749,0.9793241601255543,1.4880022432975655,1.2163827861876924,1.2933690384780527,1.2310380004791106,0.5213069083661539,0.24820118390226598,1.8577482552684756,1.1835075757501872,0.28514275545981255,0.7440011216487827,0.5573244765805427,0.11523626395462348,0.13093911239611214,0.23633651666869582,1.8577482552684756,0.435409747328549,0.9015543003508779,0.46941571534348925,0.15372540728149373,0.5573244765805427,0.16650106578995028,0.24463564414948002,0.1358123447582182,0.18667994038934135,0.18365995333690743,0.27102428127258926,0.3328213486637334,0.1601507116610755,0.12761384767664383
35,0.7595016859350966,0.9794563821093696,1.3835677565461024,0.9651228740785007,1.0870889515719377,1.150291797593562,0.4617273960002163,0.23638015434419674,1.8577482552684759,1.1536454179947093,0.24793256790237175,0.7993947037821926,0.524106461420113,0.11976403703758637,0.1349592013547699,0.21092770702142075,1.533722396791416,0.4214061537509961,0.7653779078765675,0.47276030868839347,0.155726240996531,0.5159066210849873,0.16612106564743295,0.23638015434419674,0.12906078877109764,0.1802735208984899,0.1804379290342842,0.26521473081245667,0.32461064673682144,0.16501266821192048,0.11741850990272562
36,0.8409893848449723,0.9156255267646529,1.3499058583843364,0.9927142738633951,1.1218635094922251,1.1791014436499918,0.4989289355686493,0.23334398521344749,1.7998744778457818,1.1578350849468857,0.29477536091249795,0.8584839634301574,0.5587618059850058,0.14840989144323039,0.1578147247715094,0.21422310247997625,1.8577482552684756,0.4440889372701737,0.8195173154446751,0.478277903467298,0.1669825743897387,0.5544718880887677,0.19361920488890616,0.2579284407984357,0.1506151479114953,0.20068069030513927,0.19765983831286213,0.2826613049845871,0.3388619984683261,0.19105810429513756,0.12762529432040998
37,0.8779056704628184,0.8322396642497843,1.3875571039350387,0.849371358313431,1.101081128824855,1.1428130666520362,0.45819390048117875,0.23486212214598468,1.7382921590317002,1.1120138492529033,0.32706289683908923,0.8484521252416634,0.5603786731403123,0.16712209842747747,0.17593576385172732,0.21408240407517662,1.8577482552684759,0.44092787610984074,0.7487772337376284,0.49306274448006093,0.17287095120690119,0.5399240796992403,0.19692784820982087,0.2718341760482999,0.16346325348692595,0.21159777698334598,0.19953417249256727,0.2977477264425738,0.3492070217030276,0.20850259673491936,0.12868840507605006
38,0.7987621711791049,0.7928234189770298,1.363615727012922,0.8733394746307166,1.0925691583238781,1.1344122324724522,0.45069632228406803,0.23797087670700848,1.5963285906049476,1.145378623548985,0.3292212097944134,0.886406898191276,0.5865497791661745,0.18455304578125736,0.19894542882912408,0.2201832538765445,1.8577482552684759,0.45357188367677803,0.7436175024575349,0.5281562647469564,0.1841387495292877,0.539922784062838,0.21182906208265892,0.28750269574659076,0.17799157044301536,0.22794944389142904,0.21040795156355666,0.3184077332111392,0.38385439111738845,0.23176429005088134,0.1424645956612031
39,0.8419710579900261,0.806286662291951,1.3171939864261146,0.8647401257262352,1.091443964061145,1.1215808496359676,0.48875393122347865,0.24751619540714703,1.7557457225609776,1.1437734691873644,0.376765690276309,0.9584938383368601,0.633074279070007,0.2147639809248638,0.22030465237645805,0.23810493322436577,1.8577482552684756,0.4684907539003107,0.7598171579940327,0.5656448394852077,0.20602033427171992,0.5827523608034885,0.23901373067942058,0.3136307050317606,0.19956424625045768,0.2581446819842317,0.2286850788971693,0.34757593397599373,0.4087349302453622,0.26133165336675307,0.15925806278607574
40,0.8367337986195816,0.8071595867718205,1.2058018295625392,0.7931428383357153,0.9855843375319071,1.0719005388154685,0.43038617359471926,0.24247186861460876,1.5964281682102504,1.068231740622147,0.3788408337670693,0.9783752566931159,0.6275503489646862,0.22324871737131896,0.2267082616598818,0.22657111207630048,1.8577482552684759,0.44971427505058204,0.6743284988515029,0.5239536209598835,0.20774464625145592,0.5376429059174918,0.23857946761506224,0.302326483905493,0.1999156871261475,0.25519354610392797,0.23296967421132417,0.3479394725586443,0.4039280071852078,0.26554314255680994,0.15848089381437233
41,0.8602695458955361,0.7845377970244065,1.2097800232376354,0.7808683031187732,0.9894289403800496,1.1036776765543876,0.4441725165132859,0.24950130996332626,1.6261328883778607,1.079881262657139,0.42301429866586243,1.0416991048676811,0.6633760657223592,0.25806313356367533,0.2549108965901777,0.24400707864190838,1.8577482552684759,0.4877765189134993,0.6902548644161812,0.5588584351934625,0.23275812325512646,0.5983858179454972,0.2641329657316639,0.32786654204005045,0.22323450241593024,0.28867373465151647,0.25287737535109617,0.38420445659740804,0.4379581406264263,0.29706342207614533,0.17636767716754034
42,0.9221655922679907,0.8134761411822509,1.248982743478091,0.7940196441436895,1.0246284358533229,1.1121595082629032,0.45589070752056665,0.267272855016888,1.6084283586069603,1.1261180909649817,0.457713516085036,1.1211739723622987,0.7000835369390059,0.28968552636690803,0.28557386083137776,0.26224789731928005,1.8577482552684756,0.5166193794218434,0.6816829840174058,0.6035992967572302,0.2535937768058029,0.6042584878348682,0.28772717387456803,0.35200892081059976,0.245819780241745,0.3139287122614436,0.27434064392734203,0.40944698226008464,0.47718788733143114,0.33944745727656095,0.196728659683838
43,0.951609525245572,0.8636280162074581,1.2786812435521981,0.8291160801130967,1.0611136456819936,1.1842890222252107,0.4737156088900843,0.2865951120327181,1.6701041784011874,1.2021028403868157,0.5133280833815473,1.20816046948171,0.7356885777341747,0.32326211213398265,0.3215040748706451,0.28523127541233767,1.8577482552684756,0.5519310905472143,0.7196180085023627,0.6443041500430977,0.27941399786265253,0.6580587369607607,0.31962295933851786,0.3791223049274065,0.2747357522911045,0.3416092137250588,0.30907034283382284,0.4568652548156541,0.5181975500706855,0.37825832211312727,0.22263460570515212
44,1.0274868915063546,0.9163753290674497,1.3544485217892404,0.8742002591322852,1.1148714823990893,1.2509837041525622,0.49678776401895186,0.30979647483285466,1.679516167018658,1.2507035286309156,0.5618665112523431,1.329300465445617,0.8327454899100861,0.37298899648257,0.3632360644813996,0.32142231238270047,1.8577482552684756,0.6109837259668532,0.76362522293683,0.6889207075421957,0.30769691196964233,0.7253398175525442,0.34902445345856487,0.41727499479466773,0.3035985242653603,0.39326698981246744,0.3451416103422149,0.515117724871971,0.5741714225104912,0.43146034577277587,0.25190090916762314
45,1.0735116062904448,0.911137851329165,1.3241749704549928,0.8485282263362681,1.1353607623972535,1.2472857964797308,0.48833791856326303,0.3141381889375265,1.7169012402841013,1.255018359185692,0.5955128120828524,1.320771594690676,0.8563597905326802,0.40132540706148256,0.3847306338369868,0.3311586142837178,1.8577482552684756,0.608310209974999,0.7331499918728531,0.6865134853504715,0.3263538214922051,0.7019504808180559,0.3627925885709481,0.43714583993884565,0.31889172399376764,0.4088660705028116,0.35833625092235366,0.5327322747962869,0.6049499887662264,0.4491369319581443,0.26765746728416356
46,1.17258289043557,0.9776040622247096,1.4474226782707678,0.9049294635247233,1.2311096557759948,1.2810698901412232,0.5188069880721553,0.34585011669089355,1.7283320846767392,1.3810293102338618,0.6639605677674335,1.4664908224116204,0.925419553105736,0.4482930030994403,0.4299967244977198,0.3633476015501047,1.8577482552684756,0.6569487152114177,0.8111395546014034,0.74585079383696,0.36578259131361657,0.7795250672157594,0.3990653563439923,0.47649594787342364,0.35110331816453505,0.4582734171763522,0.40461932921194876,0.5957457611782718,0.6654751478402138,0.5019392200826246,0.30136378564786936
47,1.2693846408773515,1.063904648609627,1.554831187071175,0.9851437718961216,1.341347014612611,1.4091166412671225,0.5628804318352408,0.3836790740682425,1.8513587513810519,1.4898493134902873,0.7453372430961518,1.6223102982641375,1.0268648549485708,0.5056195350028563,0.48883672248471216,0.4122243505621388,1.8577482552684756,0.7231092919989801,0.8594644051796916,0.8202400868023478,0.4183597380515609,0.8427124179476178,0.4519205414860556,0.528219966600305,0.3902153444952995,0.5147581112786085,0.4524143191830903,0.6621348877102415,0.730915278653053,0.5575457630783995,0.3439615048174324
48,1.2745414840513163,1.0657700408934794,1.5510914413152828,0.9760236211879733,1.3213062087047367,1.4280707791502196,0.5689200286784013,0.38371266161879986,1.8577482552684756,1.4741975329017591,0.7776270079314527,1.636018585620492,1.0309380728186055,0.5285897483491289,0.5090459430520761,0.4198368336170115,1.816579318863634,0.7335404184673064,0.8552349199042946,0.8030884658772586,0.430260628753951,0.8542381426083688,0.4565912106741056,0.5308643665836849,0.40416223517096456,0.5278060553262026,0.4712169105243804,0.6791626266262764,0.7537304184916621,0.5744279907835355,0.35710978613641536
49,1.3094077941174516,1.109639041950756,1.6297669106355064,0.9992731422874638,1.3756898002246367,1.4742698261666598,0.5852549040230105,0.40789555003319033,1.8577482552684756,1.5461626549284284,0.8310646200381216,1.718885824077908,1.0746346557693442,0.5652239926220068,0.5410484225748663,0.4391122333640676,1.7883463548763192,0.7682967058004789,0.8875095421261394,0.8480977879106028,0.45198386228491877,0.8991127542838161,0.4768186254611481,0.5606807392173287,0.42333810163551044,0.5718658986059704,0.5054988264473715,0.7261001780902117,0.791460178992432,0.6054536245677412,0.38558423250307794
50,1.2947852928027228,1.0926025943825055,1.5813845410203853,1.0020394573704157,1.3668988169111786,1.4675943529552475,0.5790692806202499,0.4076385845665025,1.8577482552684756,1.5205904353097948,0.8478314185117877,1.734003798171427,1.084531325383673,0.575084437139255,0.5434592041357657,0.4457376284249199,1.692580774326451,0.7644681566456382,0.8712198714362507,0.8322013938931196,0.4580405783128638,0.8784522502945971,0.4837380579201814,0.5667246633703729,0.42978525978360815,0.5880333307550633,0.5155872969663388,0.7323791153303253,0.8101903000504658,0.614138597897685,0.39489586583020503
51,1.3115921566580684,1.1158155845151578,1.6029685891009304,1.000271835831738,1.399501809690664,1.514798089610257,0.5887476310305391,0.4221557100302818,1.8577482552684756,1.5485646438578335,0.8815486067720412,1.7809388873511494,1.1096512277160586,0.5927703180584951,0.5655054593492526,0.46130665273242616,1.606871469143959,0.7760382116225234,0.8785310399902789,0.8518033509336925,0.4801866251372171,0.9007566119988071,0.49724246953032664,0.5760832339419374,0.44086894656222175,0.6116046169045981,0.540085398075567,0.7617702158115066,0.815706802116868,0.634647178457792,0.4129574929640548
52,1.3343945855438453,1.117648263096503,1.5739275870352014,0.9964967784667259,1.4063804568024219,1.5069100791006977,0.6000633494087878,0.4289145404532023,1.8577482552684756,1.5545833590479696,0.9038402918094167,1.809356578861924,1.132034874073879,0.6062415164382038,0.5855062792699742,0.470321411485753,1.5779272490074918,0.782336715623522,0.8821664911146585,0.8392776266889734,0.48628229283808644,0.9076436594441569,0.5003898230918508,0.5749912522269351,0.4484682597363001,0.6213148349184745,0.5524212993182349,0.7686897721278196,0.843076044254733,0.6499084416128417,0.42372595081807496
53,1.3202503226588163,1.1507237550835636,1.6133460827750927,0.999441287414711,1.4510378321517896,1.5432820261929858,0.5982520784985382,0.438750709017069,1.8577482552684756,1.5740208422310937,0.9387118525396135,1.8477244337472427,1.1586878536653478,0.6394320509703014,0.605058769438247,0.4864588638556268,1.5384497497512952,0.7937266118910018,0.9001300439522193,0.8443426955168961,0.5091773739207957,0.9181202126008968,0.5123051266767068,0.5903297621479464,0.4612241143112927,0.6448873020114781,0.577272304699537,0.7958507438147919,0.8505067085721485,0.6577047280175846,0.4459270237865258
54,1.351061723581939,1.144744127977993,1.5947202927476984,1.015758874121318,1.4480847588311943,1.5233858860144514,0.5952858445118743,0.44247905336524845,1.8159238111003932,1.5789065821821384,0.9574548700229837,1.8577482552684756,1.1503292935489122,0.6569435826199226,0.6164161799263081,0.4955522164323399,1.4768667843937004,0.7885393369336446,0.8875527281749235,0.8443670530746766,0.5169267254408899,0.9018507198237746,0.5121223730427864,0.5872872969268206,0.4625795959343611,0.6500641363013948,0.5833611500794283,0.8073097560757452,0.85413192215719,0.6732494775346259,0.4529159981028208
55,1.356567451620775,1.1451025253387133,1.5896943908869372,1.0129618298833427,1.4525825955136096,1.5433584228652821,0.5985163084014796,0.44502143829875185,1.7975808246761982,1.5498636216971695,0.9656333802323758,1.8577482552684756,1.1631126608308167,0.6661492686971554,0.6233758037633871,0.505022039674018,1.4147039855632706,0.7932515471410052,0.8861551206932337,0.835957385090971,0.5305458885760015,0.9157968240281936,0.5116589758195514,0.5851683218582112,0.46633499587527394,0.6633285825273364,0.5956882905641042,0.8240404129055979,0.8459744491398322,0.6729904264427425,0.46288609818744725
56,1.322064560228258,1.1476337419327942,1.5580715348830665,1.0047596038693056,1.4607224602084978,1.497413851534731,0.5971376008619073,0.4466681587968333,1.763583137373767,1.5421545081632198,0.9763546536660318,1.8577482552684759,1.1547132394360808,0.667205454224455,0.626713252313016,0.504854846269558,1.349255508415557,0.7916433723392281,0.8713113151319704,0.8278690626880453,0.5291247928036887,0.8925270075376758,0.5037678902348166,0.5802439993826771,0.4613767870602847,0.6638768413989631,0.5974425416543129,0.8153441684852846,0.8433353496163796,0.6673957626423841,0.4647984096761698
57,1.3298648318011352,1.14600311869165,1.5906824238655097,1.014804942287234,1.495902444082069,1.539659929333612,0.612933464750474,0.45620576046544814,1.758141964917465,1.5491919759883719,1.0016200360519327,1.8577482552684756,1.160201310334316,0.6838028240301682,0.6370563443756779,0.5168694480364834,1.3257068385802875,0.7960670963734872,0.8844703059110807,0.8278432919930271,0.5379828900508734,0.8948404584015377,0.5147516663939646,0.5872535746624384,0.47892909148968293,0.6831907145312042,0.6121591553805266,0.8242892612276396,0.8566483452262217,0.6826865485671734,0.47962132690494824
58,1.3443109507734037,1.186048138110986,1.573852609641977,1.0138284532535422,1.5281296230775838,1.5636556702436009,0.6146802534567479,0.46067588561360057,1.7563514647947038,1.5403930999663706,1.0256772030275123,1.8577482552684756,1.1827572402466011,0.6982660973935971,0.6482727217333931,0.52266272033127,1.2928429247708928,0.7985863160040735,0.8913881965695353,0.8265599640917509,0.5527567560472116,0.9186312951044899,0.5181331087656031,0.5912720884508471,0.4814688754046152,0.6952340804914835,0.6279331976446486,0.8399492329012828,0.8580872702434819,0.6831514834550936,0.4912400648659516
59,1.3299096862670237,1.136136987520348,1.555579335862208,0.9925058938366467,1.5128728774704117,1.5365936459723977,0.6103419559816052,0.45981881784117096,1.7141983379089807,1.5438832506301614,1.0346888827858527,1.8577482552684759,1.1890843939223166,0.7082748660728945,0.6511481624840562,0.5251492236459732,1.2604233750623088,0.7943932608423794,0.8947355038796608,0.8271755071954807,0.5584944606679996,0.8956879927320021,0.5184095600150328,0.5957229238620604,0.4844813751117274,0.702734367212213,0.6357986499821282,0.8445716085709469,0.8587420614891421,0.6874420069763522,0.4937668520565717
60,1.2996155683586357,1.129780827741412,1.5427318737839835,0.9866847137292879,1.493213029403013,1.5089842115203613,0.6092091720081361,0.4583824668098653,1.6659541781241063,1.4975435142212676,1.039221660708376,1.8577482552684759,1.1776694296014965,0.7066154709848446,0.6510132342049012,0.5248469261326955,1.2329436096039408,0.7887535252745922,0.8791489189531494,0.8190661395109727,0.5549855335906454,0.8955504633754209,0.512196338478394,0.5830503718486771,0.4832251517707914,0.7047967828015197,0.6381745727888195,0.8451497066276681,0.846951773812239,0.6750118172656583,0.49762118729533766
61,1.3213787176142107,1.1327331309845634,1.5533339695728465,0.9933297641229117,1.5040546948696834,1.5583893667318647,0.6145898221315274,0.46672883367208,1.6668161615018695,1.5251938614284108,1.05215252207306,1.8577482552684756,1.1807406535658223,0.7205531859307407,0.6590752042881519,0.539524359144744,1.2257773838800667,0.806322493551317,0.8845194657715888,0.8177344225346561,0.5733516288037473,0.9050410864158194,0.5214927170501521,0.5890268017288798,0.49035802641623105,0.7171940579576868,0.6499061623907565,0.8546611861323034,0.861891529387692,0.6847586611782912,0.5118899033011194
62,1.3269805265534156,1.1402077826603205,1.5559700194111035,0.9955715926162549,1.5336343876356786,1.5666215450204521,0.622955950298129,0.47221806580076,1.6692018202435068,1.5111367870667,1.0725027272660317,1.8577482552684756,1.2116186843087513,0.7380678722142457,0.6719693013426062,0.5482738238633846,1.2066820432749878,0.8110067639029442,0.9063624276530935,0.8301799353314472,0.5777499809578401,0.9091447514271228,0.5281716246275957,0.5957907804638161,0.49765048831763153,0.7367448312141179,0.6605090180793018,0.8743696933132709,0.86970633793565,0.6985767542965438,0.5203855287141579
