,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
96,61486,66351,48521,70700,44894,43975,93613,120092,50459,49514,60353,39841,54446,84502,99861,107073
97,61464,67219,48629,70926,45605,44662,94202,119938,50554,49933,60675,40378,54934,84666,101164,107855
98,61233,67555,48720,70645,45293,44963,94794,120781,51389,50705,61558,40527,54739,84839,101480,108244
99,62633,67802,49487,71109,46405,45453,95305,121640,52644,50813,62115,40992,56642,87277,103199,109151
100,63931,68785,50527,71953,47174,46289,97193,123153,53419,51904,62643,42040,57487,89062,105836,111442
101,64512,69341,50613,72699,47034,46683,97972,123450,53804,53050,63771,42726,57758,90218,107748,112032
102,65074,69800,51336,73212,47438,47050,98068,124386,54379,53643,64066,43201,58441,91872,109584,113200
103,64527,70258,50874,73199,47838,47787,97595,123545,54387,53446,64892,44075,59458,93435,111791,114688
104,64529,69873,50727,72624,47694,47896,97775,123140,54238,53504,64823,43341,60051,94540,112761,114417
105,65260,70453,51102,72682,48223,47548,97676,123305,54924,54307,65287,44060,60984,96479,114468,116598
106,65334,70369,51450,72817,48484,48471,97876,123016,55022,54531,65743,44563,61664,97472,116864,116699
107,66107,70803,51045,72975,48627,48710,98100,123103,55493,54758,66801,45346,62129,97620,116376,117109
108,66500,71613,51225,73657,49215,49136,98731,123942,56230,55431,67134,46082,62934,99219,117809,119298
109,66948,72104,51967,73704,49821,49418,99895,124747,57229,56663,68322,47240,64279,101054,120869,121612
110,67696,72744,51824,75164,50142,50664,100986,125223,57541,57701,69009,47490,65251,102549,123563,122886
111,68489,73187,52622,75237,50681,51545,101958,127296,58873,58689,70486,48297,66629,105398,126783,125962
112,69717,74210,53878,76092,51943,52518,104214,129108,59993,59768,71983,49424,69180,110231,132189,128939
113,71538,75410,54112,76679,53205,53907,105581,130710,60778,60953,73215,50885,71165,114145,136601,132069
114,71798,76258,54727,78069,53384,54784,107607,132638,61962,62799,75225,52463,73355,116802,140032,135753
115,72992,76400,54875,78734,54797,56262,108876,134262,63036,63722,77019,53215,75578,120585,144236,138597
116,72728,76735,55085,78135,55414,56502,109599,135362,63653,64185,77156,54381,76407,120623,145441,139602
117,73087,77306,55272,78566,55907,57153,110720,135060,64149,64994,78572,55615,76796,121733,147878,140233
118,73247,76958,55800,79165,56050,58498,110932,136250,65348,66098,79692,57229,78335,123305,148634,142150
119,72844,77458,55561,78866,56300,58479,110872,135051,65669,67019,80865,56719,78571,124487,150241,143623
120,73771,77080,55549,79690,57499,60137,113479,137272,66861,68305,82105,58171,80262,127410,153338,145320
121,75085,78482,56885,80904,58870,61420,115049,140078,68174,69407,83921,59499,82334,132166,158067,150040
122,76810,79372,57413,81468,59710,62975,118123,142249,70345,71405,86472,61297,85240,137908,165982,153391
123,78655,80933,58435,83167,61254,64716,122053,146704,72310,73653,89251,63851,89422,146140,174635,160916
124,81444,82780,59982,85398,63638,67135,126311,151420,74131,77266,93446,66791,95192,155081,185810,169165
125,83232,83539,61210,86984,65999,69771,129833,156332,77462,80417,97422,69817,99581,163625,195634,175617
126,85682,85106,62742,89163,68529,72860,135856,160960,79829,83050,101301,72551,104458,171008,205744,184312
127,87711,87318,63946,91730,70547,76064,140030,165530,82359,86181,104959,76330,108960,179139,215085,191140
128,89441,89157,65501,93220,72657,77141,143335,169253,85302,88316,108476,78743,112571,186081,222829,198405
129,92345,91301,66658,95424,75883,81234,147887,174784,88500,92249,112352,81578,116704,192523,231117,205276
130,94242,93218,68857,98158,78618,84122,152486,178864,91495,95412,116726,85148,121086,199010,240770,213031
131,96637,95157,70459,100125,80552,87440,156938,184105,94357,99256,120487,88337,124444,203770,246554,219696
132,99607,96461,72167,102337,83172,90977,162566,188285,98165,102683,124647,91789,130197,212592,257375,225598
133,102732,99515,74243,105903,86905,94699,167860,194584,102379,106601,129466,95887,135879,221872,270079,235334
134,106514,101919,75705,108434,89742,98507,172452,199737,105797,110223,134655,99945,139441,229872,278892,243783
135,110133,103871,78422,112149,93028,102532,179572,207255,110220,115032,141019,104669,144417,236472,290249,250874
136,112009,105667,80204,115138,96550,107183,184867,211643,114253,118721,145212,108420,149573,244406,297960,260024
137,114139,108070,81439,117149,100767,109593,187536,214479,117215,122396,149132,111747,152351,248375,303699,265005
138,115813,109260,83171,119509,103256,113169,191507,218824,120499,125524,152338,115557,155694,253527,309850,269872
139,117423,110905,83897,121236,106081,116233,195629,222691,124132,127719,157086,118194,158225,257946,314746,273979
140,118685,110862,84531,122382,107542,117540,197329,223736,126446,130466,159108,120362,158618,257238,316405,275053
141,119572,110888,85378,123184,109319,120276,198731,224937,128752,133045,162348,122632,159776,260663,319121,277749
142,121534,112416,86767,124910,111583,123408,200841,226252,130144,135081,164853,124718,162578,264786,323677,282668
143,123318,114913,88186,126254,113377,125349,203853,228135,132666,137186,168474,127039,164365,270468,331556,285889
144,127241,116504,90202,130385,117291,129204,208599,234515,136907,142220,173979,132335,171172,282491,345479,296325
145,132348,119327,92561,133240,121394,134434,214973,239914,142264,146779,180875,136771,178567,297697,363460,310266
146,137899,122492,95769,137787,125286,138800,221583,246533,146801,152248,186508,141900,186325,312487,382370,321122
147,143994,126762,99117,142412,130560,144364,229693,254549,152790,158059,194539,148099,194498,330924,404084,337565
148,150826,132372,103439,146943,137213,150727,238971,262102,158671,164391,202251,155781,203806,350350,427071,353855
149,157989,137615,107991,152895,141835,155593,245851,269547,164535,170549,209763,162015,211601,363939,446771,368416
150,165541,143073,113324,157948,148338,162209,252891,277409,173007,177985,218277,167681,220047,377007,465799,383929
151,174900,151086,118810,165775,154240,169581,263250,286022,180033,185674,227834,175583,229107,395184,488595,402148
152,183568,157667,124047,170556,160663,175500,272010,294056,187259,193086,235656,182389,237086,406096,505226,414532
153,191387,165332,130328,178412,166622,182576,279446,302222,195971,200668,243513,190583,245419,422313,525396,430443
154,203793,174310,136914,186115,175879,192134,292440,313227,205326,210060,256145,199608,255382,441253,552959,452637
155,215072,184332,145358,195461,184890,201535,304591,325294,215950,219694,267332,209337,264799,453763,574172,470800
156,228797,195333,154760,207207,195485,212137,318093,340145,228281,232475,281687,221285,277235,474583,601773,493990
157,243158,206729,164249,218577,208018,224042,332060,353127,242056,244612,296486,234602,289073,494779,629668,519416
158,257319,218511,172884,228750,218482,234657,343999,365139,255144,255196,307380,244454,295998,504978,644655,534621
159,268111,229412,181151,240332,229447,244768,355877,377082,268085,265483,321839,255493,302742,513664,658818,548818
160,280034,239086,188951,250391,239742,256221,366459,384319,279986,276557,331147,265102,309619,520592,668973,561690
161,286396,247344,196525,256509,246459,262292,369203,388341,287211,282160,337467,270365,307936,513886,665991,560325
162,292756,254191,201779,261732,252799,269056,373841,392550,297540,288332,343958,275449,308046,512226,659757,562999
163,299965,263470,206964,270008,260051,275171,379363,397868,305304,294402,348625,282083,308473,510860,661455,567194
164,305723,269162,213354,275205,266916,281960,381340,401172,314117,300027,355332,286110,306831,502846,652266,565012
165,312357,275019,218302,282196,274670,288079,386781,404469,321553,304571,361932,291501,303802,496786,644566,564021
166,317309,281062,223301,289751,280813,295178,388140,407098,329281,308605,365030,297168,301791,491426,635648,560197
167,317454,281567,225224,288760,283750,295461,385450,402910,333919,310392,363920,297548,293742,473439,613263,548482
168,317019,282433,225008,290211,286080,296321,380892,398577,334621,310489,361621,297584,285015,459082,595265,533162
169,311257,280103,222986,287798,283862,294236,372391,388818,333264,303996,354762,293063,274975,442547,569272,515637
170,301859,272254,217206,279709,277928,285826,358467,374351,324831,296285,343608,285293,261476,420644,540646,494127
171,292494,264896,212860,270846,271699,280988,347040,360306,318415,287908,334037,276502,249959,400993,513994,472300
172,280649,256618,206632,261476,263642,273050,332976,345862,307472,277847,323233,267383,238493,385151,491425,454804
173,269667,248623,200457,253165,256580,264760,318908,330441,298455,268347,312020,258829,227967,365689,464786,434207
174,262729,241957,196072,247189,251846,259751,309475,321301,292738,262989,303371,253331,218589,352400,444932,419147
175,257071,239164,193683,243242,250143,256419,302109,312384,288931,259265,297864,249065,212699,341740,429449,407898
176,249991,233373,189598,237373,245521,251138,291261,298847,282840,251796,289694,242892,202367,323791,408420,390690
177,247078,230365,188523,234422,244815,248700,286284,295615,280217,249322,285540,240145,196398,315252,394803,379771
178,243676,228138,186159,231677,243410,247490,280624,289010,277850,244743,280854,236079,190240,303758,380808,370295
179,235720,222358,182185,226279,237525,240088,270004,277479,271377,238280,270954,230879,180738,288308,360615,352334
