name,total_reads,coverage,small_reads,nucleosomal_reads,small_proportion,peak_position,peak_height,small_fragment_peak_position,small_fragment_peak_height,small_fragment_std
oridb_123,8226,4.113,916.6927168926276,7309.307283107372,0.11143845330569263,911,80.0,-5,12.62552996945587,1.2389777652915037
oridb_124,5435,2.7175,510.78312704275095,4924.2168729572495,0.09398033616241967,708,37.0,181,1.7828226367058986,0.5121143968205503
oridb_125,9413,4.7065,1147.1136387656402,8265.88636123436,0.12186482935999578,-216,68.0,-85,28.508910204194354,2.48962508172917
oridb_126,8914,4.457,914.5847041642111,7999.415295835789,0.1026009315867412,97,80.0,-91,19.23127045100985,1.8008559407596212
oridb_127,8088,4.044,744.0774600393393,7343.92253996066,0.09199770771999743,618,74.0,302,5.282120886707003,0.7801019242216459
oridb_128,6691,3.3455,764.6897409472349,5926.310259052765,0.1142863160883627,-102,50.0,41,4.856680723973657,0.8975249329390522
oridb_129,4874,2.437,559.8707319374873,4314.129268062513,0.11486884118536876,-681,40.0,-542,4.313261837839771,0.6863662174856815
oridb_130,11385,5.6925,2082.7433845114506,9302.25661548855,0.18293749534575762,-446,101.0,-446,33.36750763672013,3.4977149049193375
oridb_131,7437,3.7185,983.8664262954436,6453.1335737045565,0.13229345519637536,553,48.0,400,6.742137670436389,1.058604361453025
oridb_132,6705,3.3525,1033.1093968159514,5671.890603184049,0.15408044695241632,-10,31.0,-138,9.935762934531654,1.3730915330746825
oridb_133,7145,3.5725,907.7865049128765,6237.213495087123,0.12705199508927592,-178,38.0,41,2.2162448926513836,0.7317042086651795
oridb_134,7004,3.502,970.4213637306827,6033.578636269317,0.1385524505612054,-107,32.0,51,6.151496495726775,0.9956318885130916
oridb_135,8270,4.135,743.3394083154801,7526.66059168452,0.08988384622919952,-419,36.0,-635,2.7901184784324338,0.6437435370130394
oridb_136,10219,5.1095,1067.9515726486916,9151.048427351308,0.10450646566676697,-34,87.0,8,10.710210358416468,1.3260255490940323
oridb_137,12588,6.294,2003.754805708135,10584.245194291865,0.15917975895361736,52,280.0,52,28.880112911290034,3.6264669347174645
oridb_138,7321,3.6605,719.5307302797098,6601.46926972029,0.0982831211965182,56,98.0,132,8.876620478722183,0.9809082429577981
oridb_139,10508,5.254,1366.5825768443747,9141.417423155624,0.130051634644497,115,40.0,-279,13.225919081018166,1.5389857608622748
oridb_141,11122,5.561,1258.254469578417,9863.745530421584,0.11313203286984508,-750,61.0,-632,6.268857884718723,1.2483401480269205
oridb_142,14022,7.011,1662.5186768379026,12359.481323162097,0.11856501760361593,144,54.0,-965,8.335459241780693,1.4500139659717548
oridb_143,13175,6.5875,2292.2826010329923,10882.717398967008,0.17398729419605255,1000,101.0,970,17.605644484835715,2.538880572487434
oridb_144,17256,8.628,2240.7790304178434,15015.220969582157,0.12985506666770072,-735,175.0,-128,12.250887243256841,2.239936900298207
oridb_145,12094,6.047,1137.027005705217,10956.972994294783,0.09401579342692386,995,63.0,-95,4.151438250264266,0.9513711661242088
oridb_146,9150,4.575,998.3385674050088,8151.661432594991,0.10910804015355287,-51,55.0,-51,13.145018565685746,1.577452118307006
oridb_147,13236,6.618,1832.6692549741294,11403.33074502587,0.1384609591246698,-397,73.0,-563,13.2880007573362,1.7528980721110994
oridb_148,10983,5.4915,1565.9049438813377,9417.095056118662,0.14257533860341778,-18,50.0,-24,14.678145403631877,1.875799897508719
oridb_149,9241,4.6205,865.8873237241821,8375.112676275818,0.09370060856229652,-967,85.0,66,9.198421008536743,1.1256202881262314
oridb_150,5969,2.9845,586.5599850655229,5382.440014934477,0.09826771403342653,222,37.0,-63,2.204407409175344,0.578228173511767
