orf_name,replication_time,replication_H_index
YBR169C,10.3838,167.0
YBR170C,9.3734,165.0
YBR171W,9.3734,165.0
YBR172C,8.363,163.0
YBR173C,8.363,163.0
YBR175W,8.363,163.0
YBR176W,7.8578,162.0
YBR177C,7.8578,162.0
YBR179C,7.3526,161.0
YBR180W,7.3526,161.0
YBR181C,6.8474,160.0
YBR182C,7.8578,162.0
YBR182C-A,7.8578,162.0
YBR183W,7.8578,162.0
YBR184W,7.8578,162.0
YBR185C,7.3526,161.0
YBR186W,7.3526,161.0
YBR187W,6.3421,159.0
YBR188C,5.8369,158.0
YBR189W,5.8369,158.0
YBR191W,4.3213,155.0
YBR192W,3.8161,154.0
YBR193C,3.8161,154.0
YBR194W,3.8161,154.0
YBR195C,3.3109,153.0
YBR196C,2.8056,152.0
YBR196C-A,2.8056,152.0
YBR196C-B,2.8056,152.0
YBR197C,2.8056,152.0
YBR198C,2.3004,151.0
YBR199W,2.3004,151.0
YBR200W,2.3004,151.0
YBR200W-A,2.3004,151.0
YBR201W,2.3004,151.0
YBR201C-A,2.3004,151.0
YBR202W,2.8056,152.0
YBR203W,2.8056,152.0
YBR204C,3.3109,153.0
YBR205W,3.3109,153.0
YBR207W,3.8161,154.0
YBR208C,6.3421,159.0
YBR210W,8.8682,164.0
YBR211C,9.8786,166.0
YBR212W,9.8786,166.0
YBR213W,10.3838,167.0
YBR214W,10.8891,168.0
YBR215W,11.3943,169.0
YBR216C,11.3943,169.0
YBR217W,11.3943,169.0
YBR218C,11.8995,170.0
YBR219C,12.4047,171.0
YBR220C,12.4047,171.0
YBR221C,12.9099,172.0
YBR221W-A,12.9099,172.0
YBR222C,12.4047,171.0
YBR223C,11.8995,170.0
YBR225W,11.8995,170.0
YBR227C,11.8995,170.0
YBR228W,11.8995,170.0
YBR229C,11.3943,169.0
YBR230C,11.3943,169.0
YBR230W-A,11.3943,169.0
YBR231C,10.8891,168.0
YBR233W,10.8891,168.0
YBR233W-A,10.8891,168.0
YBR234C,10.8891,168.0
YBR235W,10.8891,168.0
YBR236C,9.8786,166.0
YBR237W,9.8786,166.0
YBR238C,7.8578,162.0
YBR239C,7.3526,161.0
YBR240C,6.8474,160.0
YBR241C,7.3526,161.0
YBR242W,7.3526,161.0
YBR243C,7.8578,162.0
YBR244W,7.8578,162.0
YBR245C,8.363,163.0
YBR246W,8.363,163.0
YBR247C,8.363,163.0
YBR248C,8.363,163.0
YBR249C,8.8682,164.0
YBR250W,9.3734,165.0
YBR251W,9.8786,166.0
YBR252W,9.8786,166.0
YBR253W,10.3838,167.0
YBR254C,10.3838,167.0
YBR255W,10.3838,167.0
YBR255C-A,10.3838,167.0
YBR256C,10.3838,167.0
YBR257W,10.3838,167.0
YBR258C,10.3838,167.0
YBR259W,10.3838,167.0
YBR260C,9.3734,165.0
YBR261C,8.8682,164.0
YBR262C,8.8682,164.0
YBR263W,8.8682,164.0
YBR264C,8.363,163.0
YBR265W,8.363,163.0
YBR267W,8.363,163.0
YBR268W,8.8682,164.0
YBR269C,8.8682,164.0
YBR270C,8.363,163.0
YBR271W,8.363,163.0
YBR272C,8.8682,164.0
YBR273C,9.3734,165.0
YBR274W,9.3734,165.0
YBR275C,8.8682,164.0
YBR276C,8.8682,164.0
YBR278W,8.8682,164.0
YBR279W,8.8682,164.0
YBR280C,9.3734,165.0
YBR281C,9.3734,165.0
YBR282W,9.3734,165.0
YBR283C,8.8682,164.0
YBR284W,8.8682,164.0
YBR285W,9.3734,165.0
YBR286W,9.3734,165.0
YBR287W,8.8682,164.0
YBR288C,9.3734,165.0
YBR289W,9.3734,165.0
YBR290W,8.8682,164.0
YBR291C,8.363,163.0
YBR293W,8.363,163.0
YBR294W,8.363,163.0
YBR295W,7.3526,161.0
YBR296C,6.8474,160.0
YBR296C-A,6.8474,160.0
YBR297W,6.8474,160.0
YBR298C,6.3421,159.0
YCL064C,8.8682,164.0
YCL063W,8.363,163.0
YCL061C,7.3526,161.0
YCL059C,6.3421,159.0
YCL058C,6.3421,159.0
YCL058W-A,6.3421,159.0
YCL057C-A,6.3421,159.0
YCL057W,6.3421,159.0
YCL056C,4.3213,155.0
YCL055W,4.3213,155.0
YCL054W,3.3109,153.0
YCL052C,1.7952,150.0
YCL051W,1.7952,150.0
YCL050C,2.3004,151.0
YCL049C,2.3004,151.0
YCL048W-A,1.7952,150.0
YCL048W,1.7952,150.0
YCL047C,1.7952,150.0
YCL045C,2.3004,151.0
YCL044C,2.8056,152.0
YCL043C,3.3109,153.0
YCL042W,3.3109,153.0
YCL040W,3.3109,153.0
YCL039W,4.3213,155.0
YCL038C,4.3213,155.0
YCL037C,4.3213,155.0
YCL036W,4.3213,155.0
YCL035C,3.3109,153.0
YCL034W,3.3109,153.0
YCL033C,3.3109,153.0
YCL032W,3.3109,153.0
YCL031C,2.8056,152.0
YCL030C,2.3004,151.0
YCL029C,2.3004,151.0
YCL028W,2.3004,151.0
YCL027W,2.3004,151.0
YCL026C-B,1.7952,150.0
YCL026C-A,1.7952,150.0
YCL025C,2.3004,151.0
YCL024W,3.8161,154.0
YCL021W-A,3.8161,154.0
YCL018W,4.3213,155.0
YCL017C,4.3213,155.0
YCL016C,4.3213,155.0
YCL014W,4.3213,155.0
YCL012C,2.8056,152.0
YCL011C,1.7952,150.0
YCL010C,1.7952,150.0
YCL009C,1.7952,150.0
YCL008C,1.7952,150.0
YCL005W-A,1.7952,150.0
YCL005W,1.7952,150.0
YCL004W,2.8056,152.0
YCL002C,3.8161,154.0
YCL001W,3.8161,154.0
YCL001W-A,4.8265,156.0
YCL001W-B,4.8265,156.0
YCR002C,4.8265,156.0
YCR003W,4.8265,156.0
YCR004C,4.3213,155.0
YCR005C,4.3213,155.0
YCR007C,4.3213,155.0
YCR008W,4.3213,155.0
YCR009C,3.8161,154.0
YCR010C,3.8161,154.0
YCR011C,4.8265,156.0
YCR012W,4.8265,156.0
YCR014C,5.8369,158.0
YCR015C,6.8474,160.0
YCR016W,6.8474,160.0
YCR017C,5.8369,158.0
YCR018C,5.8369,158.0
YCR019W,5.3317,157.0
YCR020C,5.3317,157.0
YCR020C-A,4.8265,156.0
YCR020W-B,4.8265,156.0
YCR021C,4.3213,155.0
YCR023C,3.3109,153.0
YCR024C,3.3109,153.0
YCR024C-B,3.3109,153.0
YCR024C-A,4.8265,156.0
YCR026C,5.8369,158.0
YCR027C,5.8369,158.0
YCR028C,9.3734,165.0
YCR028C-A,8.8682,164.0
YCR030C,9.8786,166.0
YCR031C,10.3838,167.0
YCR032W,10.8891,168.0
YCR033W,10.3838,167.0
YCR034W,9.8786,166.0
YCR035C,9.8786,166.0
YCR036W,9.8786,166.0
YCR037C,8.8682,164.0
YCR042C,7.8578,162.0
