orf_name,replication_time,replication_H_index
YBR195C,7.2535,110.0
YBR196C,7.2535,110.0
YBR196C-A,7.2535,110.0
YBR196C-B,7.2535,110.0
YBR197C,7.2535,110.0
YBR198C,6.0912,108.0
YBR199W,6.0912,108.0
YBR200W,6.0912,108.0
YBR200W-A,6.0912,108.0
YBR201W,6.0912,108.0
YBR201C-A,6.0912,108.0
YBR202W,6.6724,109.0
YBR203W,6.6724,109.0
YBR204C,6.6724,109.0
YBR205W,6.6724,109.0
YBR207W,6.6724,109.0
YBR208C,8.4159,112.0
YBR210W,10.7405,116.0
YBR211C,11.9028,118.0
YBR212W,11.9028,118.0
YBR213W,12.484,119.0
YBR214W,13.0652,120.0
YBR215W,13.0652,120.0
YBR216C,13.6463,121.0
YBR217W,13.6463,121.0
YBR218C,13.6463,121.0
YBR219C,14.2275,122.0
YBR220C,14.2275,122.0
YBR221C,14.8086,123.0
YBR221W-A,14.8086,123.0
YBR222C,14.2275,122.0
YBR223C,14.2275,122.0
YBR225W,14.2275,122.0
YBR227C,13.6463,121.0
YBR228W,13.6463,121.0
YBR229C,13.6463,121.0
YBR230C,13.6463,121.0
YBR230W-A,13.6463,121.0
YBR231C,13.0652,120.0
YBR233W,13.0652,120.0
YBR233W-A,13.0652,120.0
YBR234C,12.484,119.0
YBR235W,12.484,119.0
YBR236C,11.9028,118.0
YBR237W,11.9028,118.0
YBR238C,9.5782,114.0
YBR239C,8.997,113.0
YBR240C,8.4159,112.0
YBR241C,8.997,113.0
YBR242W,8.997,113.0
YBR243C,9.5782,114.0
YBR244W,9.5782,114.0
YBR245C,10.1593,115.0
YBR246W,10.1593,115.0
YBR247C,10.1593,115.0
YBR248C,10.1593,115.0
YBR249C,11.3217,117.0
YBR250W,11.3217,117.0
YBR251W,11.9028,118.0
YBR252W,11.9028,118.0
YBR253W,13.0652,120.0
YBR254C,13.0652,120.0
YBR255W,13.0652,120.0
YBR255C-A,12.484,119.0
YBR256C,12.484,119.0
YBR257W,12.484,119.0
YBR258C,12.484,119.0
YBR259W,12.484,119.0
YBR260C,11.3217,117.0
YBR261C,10.7405,116.0
YBR262C,10.7405,116.0
YBR263W,10.7405,116.0
YBR264C,10.1593,115.0
YBR265W,10.1593,115.0
YBR267W,10.1593,115.0
YBR268W,10.7405,116.0
YBR269C,10.7405,116.0
YBR270C,10.1593,115.0
YBR271W,10.1593,115.0
YBR272C,10.7405,116.0
YBR273C,11.3217,117.0
YBR274W,11.3217,117.0
YBR275C,10.7405,116.0
YBR276C,10.7405,116.0
YBR278W,10.7405,116.0
YBR279W,10.7405,116.0
YBR280C,11.3217,117.0
YBR281C,11.9028,118.0
YBR282W,11.9028,118.0
YBR283C,11.3217,117.0
YBR284W,11.3217,117.0
YBR285W,11.3217,117.0
YBR286W,11.3217,117.0
YBR287W,10.7405,116.0
YBR288C,11.3217,117.0
YBR289W,11.3217,117.0
YBR290W,10.7405,116.0
YBR291C,10.7405,116.0
YBR293W,10.1593,115.0
YBR294W,10.1593,115.0
YBR295W,8.997,113.0
YBR296C,8.997,113.0
YBR296C-A,8.4159,112.0
YBR297W,8.4159,112.0
YBR298C,8.4159,112.0
