"","X0","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YIL160C",22.4464536127868,26.116272853372,21.2090539193115,15.0624281865161,9.20674182454154,5.3613276180041,9.77620754831921,5.21430182833571,7.70388005073121,10.4670493294517,7.45159712870482,9.75474668526283,7.8793870782784,8.33386011754958,10.3518459582968
"YIL159W",435.933757006228,1512.13219821024,1045.60635822206,782.170377971231,808.147337931979,866.390543069463,1101.45271711063,1087.70336139083,818.812393963432,535.722615680118,514.160201880632,526.756321004193,573.444281808039,733.379690344363,634.913218775535
"YIL158W",54.3440455888523,198.483673685627,601.276678612482,1905.39716559429,2984.0073224653,2674.23021586045,1206.81850957585,645.530566347961,649.327032847345,1230.35407118009,1952.31844772066,2105.80594068111,1459.43758438779,904.686814982882,803.130715597857
"YIL157C",1483.82872303475,1190.03149968532,1068.9363175333,991.968484854848,905.329612746584,962.894440193537,1023.24305672408,1080.40333883116,1031.21937250502,1204.66222282599,1131.15244413739,1174.22763223851,1223.93145949258,1301.00816279524,1390.5979737312
"YIL156W-B",785.625876447539,831.368019165674,813.367217805597,867.165508452286,789.733854282896,769.886645945389,754.940471786872,768.588089496684,768.186896487198,529.061766106831,588.676173167681,569.433337752217,604.961830121153,583.37020822847,546.922528130012
"YIL156W",819.886253014424,1319.74232152373,1179.22339791372,924.187558015526,1034.22399829017,1075.48232017162,1074.29658503197,1301.48973635259,1035.62158967687,901.117792271886,842.775635256515,862.075738310102,881.615865314039,967.653758093257,917.863674968979
"YIL155C",2366.32876770589,1465.99344950261,1030.76002047854,847.799529355337,820.422993698035,1101.21669273804,1144.90252843649,1020.96029798813,946.476691946977,833.557746599971,825.636961860494,1080.33819539286,1170.52672485091,1530.65230825661,1542.42504778622
"YIL154C",2362.78459081967,1096.01291741318,920.47294009812,997.34792349289,998.420002305838,951.099519433928,954.809603885843,956.30295531677,1062.03489270795,1031.48013392051,1135.62340241461,1226.6593956718,1073.34761755215,1388.97668625826,1388.87266607148
"YIL153W",1775.63262000098,1494.72134964132,1241.79010697569,1297.5205994956,1340.09242112771,1398.23424277547,1399.08392469279,1547.60478265004,1375.692866202,1313.13891587667,1359.91647598863,1522.95982623666,1364.88493944845,1589.91531353696,1642.49289204975
"YIL152W",603.691462954424,383.038668516122,433.725152649921,391.62313284942,384.637214003069,314.17379841504,281.337528334964,402.544101147517,357.680145212521,385.37772531163,377.795974425334,324.345327284989,321.30389530313,340.762280362027,364.902570029961
"YIL151C",3221.65678958261,3184.44420325449,3250.28751313449,3469.73792153675,3581.42256974666,3654.2809044316,3567.22950985336,3443.52492743291,3374.29946222027,3573.07002109919,3524.60544187738,3544.63107675738,3695.43253971257,3498.36928045581,3313.45336048482
"YIL150C",439.477933892458,842.685070735469,784.734995014526,849.951304810553,840.882419974794,901.77530534829,964.585811434162,954.217234585436,910.158400279245,785.028699708877,885.994898603003,740.141404744317,787.063220374698,778.752928762133,666.831410480283
"YIL149C",4906.32220283703,6348.86593065473,7061.55450243477,7672.15538557475,8095.79497771352,8119.19454470542,7793.8099065767,6883.92127376881,7474.9647577952,7188.95978945523,7678.12568141744,7461.1618708904,7256.04001164127,6644.86446705953,6350.85749541506
"YIL148W",43235.4138351136,36797.8284504011,45043.7887138338,52037.4617212304,59894.9704252119,64036.7693349646,66388.0529700694,68162.3963603701,67918.5070815393,61109.4886351561,61036.777240934,62324.2959154798,58205.9078346957,54658.0845731777,52649.4885438973
"YIL147C",3688.3067462695,7045.29987341131,6393.46930397646,5413.86704532494,5265.23335232392,5177.97021346836,5691.92528368807,5954.73268795938,5843.9432956261,5612.24154046419,5204.19543468744,4844.45107256865,5041.05675519189,5349.41221100932,5386.41051363375
"YIL146C",615.505385908523,478.798335645153,494.170956319959,493.832466972208,529.899140568057,557.578072272427,429.066886842899,395.244078587847,449.026151528333,460.550170495874,413.563640643117,462.131124214326,435.992751664738,436.138679485095,402.859338543716
