"","X0","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X130","X140"
"YJL100W",9.60416286558851,9.72437840440468,9.73495583044917,9.73419786501599,9.69539726233966,9.63582856613784,9.590361124776,9.0378269277879,9.51958369994737,9.65225393002,9.87003887778222,9.91896216814999,9.81765461020667,9.80487720061807
"YJL099W",11.0502141850313,10.3034196511344,10.2378935282466,10.6009838224044,10.6438418752673,10.4664380484832,10.3022488373173,10.2232137004856,10.2123586826757,10.3384421944891,10.432321047977,10.2608180376555,10.2237092984095,10.3102211935164
"YJL098W",11.5799816235841,12.5484683774478,12.6278601075794,12.6892735448414,12.6782311823361,12.7123055989695,12.6128847193499,12.8397957154475,12.5726002857607,12.552852078183,12.5850048390225,12.4707851754462,12.37004028458,12.3666638518487
"YJL097W",10.5744599048899,11.1222617818214,11.4465780710365,11.1171160025956,10.8829115737581,10.7853108820925,10.8437531177446,11.1309640457737,11.1684143469241,10.9750216111924,10.866946974817,10.9107579547984,10.9088099801912,10.9618624818938
"YJL096W",9.67456139914001,9.80833232604957,9.99016805660791,9.73419786501599,9.49124946504969,9.55695941721313,9.79874306848048,10.7440160019848,10.0817836156015,9.96195626189379,9.82218729943132,9.99463438083266,10.3195025503599,10.4201558280286
"YJL095W",10.6164021617869,11.3647826482404,11.4265585849509,11.1285596612619,10.9454184547105,10.9750404966922,11.0845371599919,11.201194812007,11.1923410665373,11.1442900171543,10.9881065566158,11.1068956809033,11.1466436479436,10.894091107272
"YJL094C",11.9674759454041,10.8075938917993,11.0213606632613,11.0478981554935,11.1368281723887,11.1116861432881,11.0039903351739,10.8905925280685,10.9196097957757,11.0315329214244,10.9917148036761,10.9288259110662,10.8822615661259,10.8340000903789
"YJL093C",11.2563991945817,11.110694384872,11.1349944963713,11.0221436289114,11.120250182257,11.0528368721443,10.9924745910847,10.8177001448029,11.1857344673028,11.26540156255,11.1673661578657,10.9836322124273,11.0216884837281,11.0743954586564
"YJL092W",10.0960102381665,10.9076562823508,11.9008623979017,12.0557616159352,11.9066077328248,11.5545407024845,11.2278306534064,11.3769552233795,11.834430158003,11.9820763647921,11.8374829547323,11.2878478329811,11.466862648021,11.6537389078608
"YJL091C",11.0885709001351,11.1590117890594,11.1053167637588,10.7968174130915,10.5725088973939,10.3732955245747,10.6969616074285,10.9997168116982,11.0069006444949,10.9078048095202,10.6857570400718,10.7551892493178,10.9158503661568,10.8646746943495
"YJL090C",9.46459610451606,10.3251451126051,10.2724924800567,10.160089983475,10.0332179950237,10.1631277762048,10.3730416815028,10.4626818376171,10.1847886359383,10.0280609455831,9.95753861991594,10.079772248357,10.0920010817787,9.78896648167339
"YJL089W",7.9991764518209,8.82635625002968,8.0098678642658,7.79465206852741,7.56857329275346,7.63036105938428,7.65637475594956,7.62042685754033,7.46316340625233,7.36878137780855,7.43326390373453,7.12070880664846,7.16637724619097,7.09060362287258
"YJL088W",10.8414545101871,11.2925910824769,10.4511234958231,9.71109055933896,9.65758267840481,9.72215049442406,9.78693619233742,9.93949606623723,10.0631563797036,10.2030779330229,10.3569117060254,10.5132038325334,10.4895990655889,10.5110324267088
"YJL087C",10.8385841341567,11.4198983151716,11.5550554740146,11.5354056120892,11.4459739709272,11.6478285361287,11.7304328920005,11.8559151628972,11.6179255978562,11.5678121471069,11.4870501194351,11.5506614489381,11.466862648021,11.4280384865496
"YJL085W",11.0251868873395,10.8402890945674,10.7562426706492,10.5785789758447,10.5448224134932,10.6135762555119,10.695383997401,10.8083855084647,10.6698336239571,10.5367268358838,10.5945710062185,10.5577511333175,10.673047797826,10.6348434300713
"YJL084C",10.7219357616385,10.7398924036538,10.0710211700089,10.1508746969807,10.2658410376844,10.4791274805353,10.4461609669988,10.6461420603024,10.2084522322737,10.0345077158484,10.0630840730516,10.3765219704687,10.2350139762028,9.65200247682745
"YJL083W",9.02336811309007,8.76398935875268,8.6933885859623,8.65758603910966,8.83540371815965,9.01538496001997,9.23372297732481,8.45043050695775,9.01627409610225,8.97274475319504,8.95520599878147,9.20127791963828,9.10758733876283,8.7477742451236
"YJL082W",13.4341335382797,12.5398691330936,11.999019003903,11.8709442609357,11.7434505795495,11.6181335428513,11.46293900869,11.2845204593009,11.2712199606631,11.2692321647209,11.3081018232441,11.3680171644953,11.3866730443731,11.4817919915951
"YJL081C",11.3500713462488,11.2807293892183,11.4834971989202,11.5708719612526,11.58636261486,11.4937974731454,11.4263199693822,11.2770765745334,11.4837938673472,11.4362465835713,11.4686121623322,11.4920121913836,11.456805126766,11.4722796065952
"YJL080C",14.1277298375188,14.0011262804509,14.3118990550284,14.4309454372174,14.3795833591325,14.2751968824523,14.1440239417525,14.3087954459497,14.1963752553183,14.1680093153906,14.1161882024034,14.1586660075241,14.2032024453361,13.9224620061552
"YJL079C",8.91838910319769,10.8531624454007,9.95996710723981,9.08054187454948,9.19904326486757,10.6046957149068,10.7541522697859,8.23822819766005,9.24216556064417,8.81670842135068,9.02973579300184,10.0009756269698,9.64345325359819,8.80435207901738
"YJL078C",8.30792759151525,7.87094523051781,7.71928261338448,7.8481261292256,7.87790633016217,7.81557707900909,9.46256566152883,9.45119468034308,9.81341846841504,9.18019324869152,8.89473081335046,8.9646051078923,9.25228741999878,8.86892581021012
"YJL077W-B",6.86756563713477,6.84160729322723,6.54121691911496,6.67976198798794,6.6782849986494,6.93058427012944,7.50450196848985,6.32824027033547,6.72184447292489,6.76769099612073,6.96041153228095,7.08219564766554,6.84279184430842,6.68259506534137
"YJL077C",5.06731858187301,5.19345421430793,5.33258059556124,5.07783511115016,5.36904631426818,5.0471547535936,4.70816403377106,4.77849693036491,4.85186532046573,5.03661385907077,4.69360024186307,4.80375988789245,4.69540817223052,5.09624189920006
"YJL076W",12.6296597803428,12.6631581231927,12.8024176114454,12.9868191195969,13.1626576502601,13.2716249415126,13.1650038888764,13.0568363669386,13.0267335633443,13.1123700974149,13.1971563403621,13.1690327723731,13.0359532700339,12.7546072927404
