mu0 delta sigma0 sigmav lambda gamma1 gamma2 mua1 sigmaa1 mua2 sigmaa2 mut sigmat a10 a11 a12 a13 a14 a15 a16 a17 a18 a19 a110 a111 a112 a113 a114 a115 a20 a21 a22 a23 a24 a25 a26 a27 a28 a29 a210 a211 a212 a213 a214 a215 tau0 tau1 tau2 tau3 tau4 tau5 tau6 tau7 tau8 tau9 tau10 tau11 tau12 tau13 tau14 tau15 halted score 
-25.7542 5.8438 11.1852 0.1451 69.4162 0.0189 0.2684 7.7382 0.0016 1.0077 0.0265 -2.4751 0.0667 7.9105 7.7800 7.7761 7.7458 7.7324 7.7337 7.7304 7.7028 7.7212 7.7402 7.6946 7.7245 7.7075 7.6938 7.6972 7.7308 1.4998 1.4598 0.8786 0.8773 0.9619 0.9695 0.9699 0.9760 0.9940 0.9691 0.9481 0.9684 0.9769 0.9752 0.9790 0.9597 -2.4560 -2.4453 -2.4434 -2.3757 -2.6747 -2.7577 -2.7249 -2.7449 -2.5666 -2.3413 -2.3166 -2.5958 -2.6402 -2.6331 -2.5371 -2.5076 0.2225 -3897392.6011 
-25.7542 5.8853 11.1852 0.1451 69.4162 0.0189 0.2684 7.7385 0.0017 1.0275 0.0304 -2.5306 0.0971 7.9105 7.7790 7.7761 7.7474 7.7324 7.7337 7.7310 7.7022 7.7212 7.7424 7.6946 7.7245 7.7075 7.6949 7.6966 7.7308 1.4998 1.4857 0.8786 0.8773 0.9621 0.9695 0.9699 0.9764 0.9940 0.9671 0.9481 0.9669 0.9769 0.9752 0.9790 0.9605 -2.4560 -2.4439 -2.4434 -2.3757 -2.6747 -2.7577 -2.7292 -2.7449 -2.5666 -2.3413 -2.2989 -2.5958 -2.6402 -2.6331 -2.5478 -2.5076 0.2248 -3897398.2266 
-25.7542 5.8853 11.1049 0.1442 69.3760 0.0189 0.2676 7.7385 0.0022 1.0214 0.0583 -2.4421 0.0867 7.9105 7.7803 7.7761 7.7474 7.7324 7.7332 7.7310 7.7022 7.7212 7.7424 7.6946 7.7255 7.7069 7.6949 7.6966 7.7305 1.4998 1.4857 0.8774 0.8773 0.9621 0.9704 0.9699 0.9764 0.9931 0.9671 0.9481 0.9669 0.9769 0.9752 0.9790 0.9605 -2.4560 -2.4439 -2.4398 -2.3757 -2.6747 -2.7551 -2.7432 -2.7449 -2.5657 -2.3413 -2.3226 -2.5849 -2.6402 -2.6331 -2.5447 -2.5076 0.2225 -3897394.8236 
-25.7542 5.8853 11.1049 0.1442 69.3760 0.0189 0.2676 7.7378 0.0017 1.0345 0.0264 -2.4784 0.0610 7.9105 7.7803 7.7761 7.7474 7.7324 7.7335 7.7310 7.7022 7.7212 7.7424 7.6946 7.7255 7.7069 7.6949 7.6966 7.7305 1.4998 1.4808 0.8837 0.8773 0.9621 0.9698 0.9699 0.9764 0.9945 0.9671 0.9481 0.9669 0.9769 0.9752 0.9790 0.9608 -2.4560 -2.4439 -2.4398 -2.3757 -2.6747 -2.7551 -2.7373 -2.7449 -2.5683 -2.3443 -2.3226 -2.5762 -2.6402 -2.6331 -2.5447 -2.5108 0.2225 -3897391.8548 
-25.7542 5.7851 11.1049 0.1442 69.3760 0.0207 0.2676 7.7387 0.0020 1.0113 0.0536 -2.4820 0.0573 7.9105 7.7801 7.7761 7.7456 7.7336 7.7335 7.7310 7.7021 7.7214 7.7419 7.6946 7.7252 7.7069 7.6949 7.6966 7.7305 1.4998 1.4757 0.8837 0.8773 0.9605 0.9698 0.9699 0.9776 0.9945 0.9699 0.9481 0.9669 0.9769 0.9750 0.9790 0.9608 -2.4560 -2.4439 -2.4398 -2.3816 -2.6747 -2.7551 -2.7373 -2.7449 -2.5606 -2.3443 -2.3226 -2.5762 -2.6402 -2.6370 -2.5447 -2.5108 0.2225 -3897395.7804 
-25.7427 5.7851 11.0900 0.1442 69.2736 0.0207 0.2676 7.7386 0.0022 1.0249 0.0138 -2.4700 0.0894 7.9109 7.7805 7.7767 7.7478 7.7318 7.7335 7.7317 7.7008 7.7214 7.7419 7.6946 7.7252 7.7078 7.6950 7.6969 7.7305 1.4998 1.4757 0.8836 0.8773 0.9605 0.9698 0.9699 0.9776 0.9938 0.9699 0.9481 0.9669 0.9769 0.9750 0.9790 0.9604 -2.4560 -2.4468 -2.4375 -2.3816 -2.6747 -2.7551 -2.7373 -2.7449 -2.5623 -2.3287 -2.3165 -2.5762 -2.6402 -2.6370 -2.5447 -2.5103 0.2208 -3897398.0470 
-25.7427 5.8737 11.0900 0.1462 69.4785 0.0207 0.2662 7.7375 0.0021 1.0186 0.0189 -2.4511 0.0815 7.9110 7.7788 7.7767 7.7466 7.7320 7.7335 7.7317 7.7022 7.7214 7.7413 7.6946 7.7240 7.7078 7.6950 7.6962 7.7305 1.4998 1.4981 0.8679 0.8761 0.9619 0.9698 0.9700 0.9776 0.9938 0.9676 0.9481 0.9684 0.9769 0.9753 0.9790 0.9602 -2.4492 -2.4428 -2.4306 -2.3816 -2.6747 -2.7565 -2.7373 -2.7449 -2.5665 -2.3463 -2.3165 -2.5762 -2.6402 -2.6370 -2.5447 -2.5103 0.2208 -3897396.3719 
-25.7427 6.2488 11.0900 0.1462 69.5233 0.0207 0.2662 7.7390 0.0015 1.0201 0.0220 -2.4784 0.0400 7.9110 7.7794 7.7767 7.7466 7.7320 7.7339 7.7317 7.7016 7.7213 7.7424 7.6949 7.7240 7.7078 7.6950 7.6962 7.7305 1.4998 1.4981 0.8679 0.8761 0.9619 0.9688 0.9700 0.9776 0.9930 0.9676 0.9481 0.9684 0.9769 0.9765 0.9790 0.9602 -2.4473 -2.4396 -2.4306 -2.3830 -2.6762 -2.7565 -2.7373 -2.7449 -2.5665 -2.3463 -2.3165 -2.5683 -2.6402 -2.6370 -2.5447 -2.5103 0.2208 -3897395.3111 
-25.6310 6.2488 11.0714 0.1462 69.5233 0.0191 0.2662 7.7390 0.0025 1.0104 0.0183 -2.4693 0.0479 7.9101 7.7794 7.7767 7.7465 7.7320 7.7339 7.7317 7.7016 7.7229 7.7424 7.6949 7.7243 7.7078 7.6943 7.6962 7.7305 1.4998 1.4981 0.8672 0.8761 0.9610 0.9688 0.9687 0.9776 0.9930 0.9676 0.9481 0.9684 0.9769 0.9765 0.9789 0.9602 -2.4473 -2.4437 -2.4306 -2.3830 -2.6762 -2.7565 -2.7373 -2.7349 -2.5665 -2.3335 -2.3165 -2.5683 -2.6402 -2.6370 -2.5447 -2.5061 0.2227 -3897397.0405 
-25.6310 6.2488 11.0714 0.1462 69.5233 0.0191 0.2666 7.7389 0.0015 1.0187 0.0379 -2.4928 0.0968 7.9101 7.7794 7.7767 7.7465 7.7320 7.7349 7.7317 7.7015 7.7229 7.7424 7.6949 7.7234 7.7078 7.6941 7.6962 7.7305 1.4998 1.4981 0.8606 0.8761 0.9610 0.9688 0.9687 0.9776 0.9916 0.9663 0.9481 0.9686 0.9769 0.9765 0.9789 0.9606 -2.4565 -2.4437 -2.4306 -2.3830 -2.6762 -2.7565 -2.7373 -2.7349 -2.5583 -2.3335 -2.3165 -2.5683 -2.6402 -2.6370 -2.5447 -2.5061 0.2227 -3897395.9802 
