Gene_ID,Gene_name,Fourier_score,P_value,FDR
YLR272C,YCS4,6.88096394426007,0.02252,0.382235135135135
YPR017C,DSS4,6.72157209701817,0.02263,0.382235135135135
YLR167W,RPS31,6.9408126417868,0.02268,0.382235135135135
YAL039C,CYC3,6.79391303601638,0.02272,0.382235135135135
YPL135W,ISU1,6.69776318338141,0.02273,0.382235135135135
YJL148W,RPA34,6.75876801783925,0.02277,0.382235135135135
YOR054C,VHS3,6.75276825680671,0.02301,0.383267448680352
YJL077W-B,YJL077W-B,6.64088284521549,0.02304,0.383267448680352
YNL181W,YNL181W,6.4703221560516,0.02325,0.383267448680352
YNL093W,YPT53,6.814587412217,0.02325,0.383267448680352
YGL120C,PRP43,6.79148663377134,0.02331,0.383267448680352
YHL033C,RPL8A,6.78317291103594,0.02331,0.383267448680352
YPL087W,YDC1,6.335704641477,0.02334,0.383267448680352
YIL118W,RHO3,6.81414162674078,0.02338,0.383267448680352
YIL128W,MET18,6.81619995304697,0.02359,0.38532225433526
YPL049C,DIG1,6.39601140222263,0.02371,0.38532225433526
YBR026C,ETR1,6.42548207387036,0.02373,0.38532225433526
YDR320C-A,DAD4,6.76804869246738,0.0238,0.38532225433526
YJL051W,IRC8,6.52373995828904,0.02385,0.38532225433526
YBL054W,TOD6,6.60212154686405,0.02415,0.387926724137931
YLR048W,RPS0B,6.83978395125556,0.02415,0.387926724137931
YBR287W,YBR287W,6.80340885160104,0.02435,0.389064
YPR042C,PUF2,6.80243855472475,0.02436,0.389064
YML106W,URA5,6.70591441882591,0.02443,0.38907037037037
YMR183C,SSO2,6.7323603756012,0.02459,0.390505965909091
YLR019W,PSR2,6.77668596151694,0.02484,0.392080726256983
YLR325C,RPL38,6.72347689154363,0.0249,0.392080726256983
YOR108W,LEU9,6.68967091621184,0.02501,0.392080726256983
YOR145C,PNO1,6.74937635379347,0.02506,0.392080726256983
YLR003C,CMS1,6.78004868479511,0.02509,0.392080726256983
YJL042W,MHP1,6.66777609949451,0.02511,0.392080726256983
YPR034W,ARP7,6.64324778236577,0.02526,0.392844198895028
YBR241C,YBR241C,6.79088185644225,0.02536,0.392844198895028
YEL034W,HYP2,6.6072390492475,0.02543,0.392844198895028
YDR077W,SED1,6.68572295747554,0.02544,0.392844198895028
YLR194C,YLR194C,6.6980178614773,0.02554,0.393301928374656
YNL063W,MTQ1,6.62126996639684,0.02564,0.393757142857143
YBL033C,RIB1,6.62932638560538,0.02577,0.394004838709677
YHR092C,HXT4,6.4471683483726,0.02589,0.394004838709677
YLR224W,YLR224W,6.71699765913128,0.0259,0.394004838709677
