Gene_ID,Gene_name,Fourier_score,P_value,FDR
YBL080C,PET112,7.47779402639708,0.00941,0.167345079365079
YCR011C,ADP1,7.30821514130121,0.00942,0.167345079365079
YER053C-A,YER053C-A,7.37755660121915,0.00943,0.167345079365079
YCL001W-A,YCL001W-A,6.98798435913358,0.00949,0.167523659305994
YBL095W,YBL095W,7.4506163370825,0.0095,0.167523659305994
YGL023C,PIB2,7.07723478225258,0.00958,0.167531117824773
YML032C,RAD52,7.32502867927943,0.00963,0.167531117824773
YKR102W,FLO10,7.07293265621187,0.00974,0.167531117824773
YDR438W,THI74,7.3078579338069,0.00976,0.167531117824773
YKL035W,UGP1,7.14048575569298,0.00977,0.167531117824773
YBL078C,ATG8,7.09355585424696,0.0098,0.167531117824773
YGR170W,PSD2,7.19774684495894,0.00982,0.167531117824773
YHR152W,SPO12,7.38918045206367,0.00984,0.167531117824773
YDL160C-A,YDL160C-A,7.03851471595786,0.00985,0.167531117824773
YNL234W,YNL234W,7.36081411281146,0.0099,0.167531117824773
YPL204W,HRR25,7.24411162457437,0.0099,0.167531117824773
YBR162C,TOS1,6.96765273269252,0.00991,0.167531117824773
YDR517W,GRH1,7.12753338895069,0.00992,0.167531117824773
YPL081W,RPS9A,7.11478757833278,0.00992,0.167531117824773
YLL007C,YLL007C,7.40575285312199,0.00995,0.167531626506024
YKL048C,ELM1,7.26008352009821,0.01004,0.168539339339339
YHR177W,YHR177W,7.17510313681095,0.0101,0.169034925373134
YGL223C,COG1,7.25215446346054,0.01013,0.169034925373134
YKL054C,DEF1,7.07671219543729,0.01021,0.169862797619048
YEL065W,SIT1,7.12973011812086,0.01025,0.170022255192878
YMR284W,YKU70,6.69471421509135,0.01035,0.1704625
YCR065W,HCM1,6.87279739931988,0.01036,0.1704625
YGL231C,EMC4,7.31528934400814,0.01038,0.1704625
YIL157C,COA1,7.10906066238331,0.01047,0.1704625
YPR175W,DPB2,7.15735367467847,0.01047,0.1704625
YER067W,RGI1,7.03678236862563,0.01048,0.1704625
YOL096C,COQ3,7.02629096917192,0.01049,0.1704625
YML021C,UNG1,7.27851205752587,0.01057,0.171264637681159
YDR285W,ZIP1,7.20544791726869,0.01061,0.171415895953757
YPL203W,TPK2,7.23807934685854,0.01068,0.17186446991404
YML131W,YML131W,6.81735916149053,0.01072,0.17186446991404
YML129C,COX14,6.88768704124442,0.01073,0.17186446991404
YKL063C,YKL063C,6.96426223608325,0.01085,0.17329
YPL216W,YPL216W,7.16238939358358,0.01093,0.17407037037037
YPR180W,AOS1,7.1919020983202,0.01097,0.174211079545455
YBL002W,HTB2,7.13399322735183,0.01101,0.174350991501416
YML094W,GIM5,6.76101946826225,0.01106,0.174589635854342
YNL146W,YNL146W,7.15343955698625,0.01109,0.174589635854342
YDR390C,UBA2,7.32748544809029,0.01113,0.174589635854342
YLR167W,RPS31,7.00936563977108,0.01115,0.174589635854342
